,Diet_Composition
15,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6531&GenusName=Acanthopagrus&SpeciesName=schlegelii&stockcode=6852
16,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8836&GenusName=Acanthopsetta&SpeciesName=nadeshnyi&stockcode=9157
17,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4287&GenusName=Acanthostracion&SpeciesName=polygonius&stockcode=4483
18,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=92&GenusName=Acanthostracion&SpeciesName=quadricornis&stockcode=106
19,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=943&GenusName=Acanthurus&SpeciesName=chirurgus&stockcode=959
20,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=944&GenusName=Acanthurus&SpeciesName=coeruleus&stockcode=960
21,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1256&GenusName=Acanthurus&SpeciesName=dussumieri&stockcode=1272
22,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1258&GenusName=Acanthurus&SpeciesName=lineatus&stockcode=1275
23,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4739&GenusName=Acanthurus&SpeciesName=nigrofuscus&stockcode=4963
24,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4744&GenusName=Acanthurus&SpeciesName=olivaceus&stockcode=4968
25,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4734&GenusName=Acanthurus&SpeciesName=thompsoni&stockcode=4958
26,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus&stockcode=6762
27,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=11272&GenusName=Acapoeta&SpeciesName=tanganicae&stockcode=11597
28,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=23585&GenusName=Acentrogobius&SpeciesName=pflaumii&stockcode=18735
29,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=52941&GenusName=Achirus&SpeciesName=declivis&stockcode=43965
30,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4256&GenusName=Achirus&SpeciesName=lineatus&stockcode=4452
31,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4683&GenusName=Acipenser&SpeciesName=baerii&stockcode=4901
32,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4712&GenusName=Acipenser&SpeciesName=gueldenstaedtii&stockcode=4933
33,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2592&GenusName=Acipenser&SpeciesName=medirostris&stockcode=2788
34,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2505&GenusName=Acipenser&SpeciesName=nudiventris&stockcode=2699
35,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4604&GenusName=Acipenser&SpeciesName=ruthenus&stockcode=4791
36,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii&stockcode=6399
37,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&stockcode=2260
38,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&stockcode=2790
39,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=26526&GenusName=Acnodon&SpeciesName=normani&stockcode=20799
40,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=52504&GenusName=Acnodon&SpeciesName=senai&stockcode=43669
41,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2741&GenusName=Acrocheilus&SpeciesName=alutaceus&stockcode=2937
42,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=644&GenusName=Aculeola&SpeciesName=nigra&stockcode=660
43,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1250&GenusName=Aetobatus&SpeciesName=narinari&stockcode=1266
44,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1085&GenusName=Agonostomus&SpeciesName=monticola&stockcode=1101
45,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&stockcode=46
46,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=25971&GenusName=Aidablennius&SpeciesName=sphynx&stockcode=20482
47,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8435&GenusName=Albatrossia&SpeciesName=pectoralis&stockcode=8749
48,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&stockcode=242
49,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&stockcode=4954
50,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=61290&GenusName=Alcichthys&SpeciesName=elongatus&stockcode=51076
51,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=988&GenusName=Alectis&SpeciesName=ciliaris&stockcode=1004
52,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox&stockcode=113
53,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=230&GenusName=Alepocephalus&SpeciesName=bairdii&stockcode=244
54,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5071&GenusName=Alepocephalus&SpeciesName=rostratus&stockcode=5309
55,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=91&GenusName=Allothunnus&SpeciesName=fallai&stockcode=105
56,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2534&GenusName=Alopias&SpeciesName=superciliosus&stockcode=2730
57,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2535&GenusName=Alopias&SpeciesName=vulpinus&stockcode=2731
58,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1574&GenusName=Alosa&SpeciesName=aestivalis&stockcode=1767
59,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=101&GenusName=Alosa&SpeciesName=alosa&stockcode=115
60,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1576&GenusName=Alosa&SpeciesName=braschnikowi&stockcode=1769
61,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia&stockcode=1770
62,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&stockcode=1772
63,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&stockcode=119
64,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri&stockcode=1773
65,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1581&GenusName=Alosa&SpeciesName=maeotica&stockcode=1774
66,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus&stockcode=1776
67,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima&stockcode=1777
68,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1585&GenusName=Alosa&SpeciesName=saposchnikowii&stockcode=1778
69,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1586&GenusName=Alosa&SpeciesName=sphaerocephala&stockcode=1779
70,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=48090&GenusName=Alosa&SpeciesName=tanaica&stockcode=40384
71,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8726&GenusName=Alphestes&SpeciesName=afer&stockcode=9048
72,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8135&GenusName=Altolamprologus&SpeciesName=compressiceps&stockcode=8446
73,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4274&GenusName=Aluterus&SpeciesName=monoceros&stockcode=4470
74,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1081&GenusName=Aluterus&SpeciesName=schoepfii&stockcode=1097
75,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus&stockcode=4471
76,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta&stockcode=5392
77,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5982&GenusName=Ambassis&SpeciesName=kopsii&stockcode=6291
78,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris&stockcode=3557
79,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3655&GenusName=Amblycirrhitus&SpeciesName=pinos&stockcode=3851
80,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1501&GenusName=Amblygaster&SpeciesName=sirm&stockcode=1694
81,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao&stockcode=5752
82,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6675&GenusName=Amblygobius&SpeciesName=albimaculatus&stockcode=6996
83,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&stockcode=7327
84,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=13619&GenusName=Amblypharyngodon&SpeciesName=melettinus&stockcode=13725
85,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=9256&GenusName=Amblyraja&SpeciesName=hyperborea&stockcode=9578
86,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata&stockcode=2761
87,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3018&GenusName=Ameiurus&SpeciesName=catus&stockcode=3214
88,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=291&GenusName=Ameiurus&SpeciesName=melas&stockcode=305
89,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus&stockcode=3218
90,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3820&GenusName=Ammodytes&SpeciesName=americanus&stockcode=4016
91,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3821&GenusName=Ammodytes&SpeciesName=dubius&stockcode=4017
92,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3822&GenusName=Ammodytes&SpeciesName=hexapterus&stockcode=4018
93,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=487&GenusName=Ammodytes&SpeciesName=personatus&stockcode=503
94,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=38&GenusName=Ammodytes&SpeciesName=tobianus&stockcode=48
95,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=14523&GenusName=Ammotretis&SpeciesName=elongatus&stockcode=14288
96,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=14923&GenusName=Amniataba&SpeciesName=caudavittata&stockcode=14424
97,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=967&GenusName=Amphichthys&SpeciesName=cryptocentrus&stockcode=983
98,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8381&GenusName=Amphilius&SpeciesName=natalensis&stockcode=8695
99,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4551&GenusName=Amphiprion&SpeciesName=chrysopterus&stockcode=4736
100,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5448&GenusName=Amphiprion&SpeciesName=clarkii&stockcode=5713
101,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6522&GenusName=Amphiprion&SpeciesName=frenatus&stockcode=6843
102,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus&stockcode=4849
103,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6509&GenusName=Amphiprion&SpeciesName=ocellaris&stockcode=6830
104,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2024&GenusName=Amphiprion&SpeciesName=perideraion&stockcode=2221
105,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4655&GenusName=Amphiprion&SpeciesName=tricinctus&stockcode=4850
106,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3622&GenusName=Amphistichus&SpeciesName=argenteus&stockcode=3818
107,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3624&GenusName=Amphistichus&SpeciesName=rhodoterus&stockcode=3820
108,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus&stockcode=511
109,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4888&GenusName=Anampses&SpeciesName=caeruleopunctatus&stockcode=5121
110,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4916&GenusName=Anampses&SpeciesName=cuvier&stockcode=5149
111,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4891&GenusName=Anampses&SpeciesName=geographicus&stockcode=5124
112,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus&stockcode=2695
113,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3811&GenusName=Anarhichas&SpeciesName=minor&stockcode=4007
114,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3812&GenusName=Anarhichas&SpeciesName=orientalis&stockcode=4008
115,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1133&GenusName=Anchoa&SpeciesName=hepsetus&stockcode=1149
116,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli&stockcode=561
117,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=535&GenusName=Anchoa&SpeciesName=parva&stockcode=551
118,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8225&GenusName=Ancylopsetta&SpeciesName=dendritica&stockcode=8538
119,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&stockcode=45
120,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=297&GenusName=Anguilla&SpeciesName=australis&stockcode=311
121,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=11878&GenusName=Anguilla&SpeciesName=dieffenbachii&stockcode=12204
122,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&stockcode=310
123,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8255&GenusName=Anisotremus&SpeciesName=scapularis&stockcode=8568
124,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1123&GenusName=Anisotremus&SpeciesName=surinamensis&stockcode=1139
125,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1124&GenusName=Anisotremus&SpeciesName=virginicus&stockcode=1140
126,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3776&GenusName=Anoplarchus&SpeciesName=purpurescens&stockcode=3972
127,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria&stockcode=528
128,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=60529&GenusName=Anotopterus&SpeciesName=nikparini&stockcode=50297
129,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3084&GenusName=Antennarius&SpeciesName=multiocellatus&stockcode=3280
130,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5474&GenusName=Antennarius&SpeciesName=striatus&stockcode=5751
131,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3258&GenusName=Antigonia&SpeciesName=capros&stockcode=3454
132,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=9196&GenusName=Apletodon&SpeciesName=dentatus&stockcode=9517
133,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=47003&GenusName=Aplodactylus&SpeciesName=arctidens&stockcode=39586
134,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=12909&GenusName=Aplodactylus&SpeciesName=punctatus&stockcode=13240
135,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3809&GenusName=Apodichthys&SpeciesName=fucorum&stockcode=4005
136,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1693&GenusName=Apogon&SpeciesName=imberbis&stockcode=1888
137,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3526&GenusName=Apogon&SpeciesName=maculatus&stockcode=3722
138,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7811&GenusName=Apolemichthys&SpeciesName=arcuatus&stockcode=8121
139,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=84&GenusName=Aprion&SpeciesName=virescens&stockcode=99
140,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=763&GenusName=Apristurus&SpeciesName=brunneus&stockcode=779
141,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=775&GenusName=Apristurus&SpeciesName=microps&stockcode=791
142,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=781&GenusName=Apristurus&SpeciesName=saldanha&stockcode=797
143,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4177&GenusName=Aptocyclus&SpeciesName=ventricosus&stockcode=4373
144,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas&stockcode=2272
145,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1219&GenusName=Archosargus&SpeciesName=rhomboidalis&stockcode=1235
146,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6977&GenusName=Arctozenus&SpeciesName=risso&stockcode=7297
147,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=13142&GenusName=Argentina&SpeciesName=elongata&stockcode=13469
148,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=2700&GenusName=Argentina&SpeciesName=silus&stockcode=2896
149,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=20&GenusName=Argentina&SpeciesName=sphyraena&stockcode=30
150,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=130&GenusName=Argyropelecus&SpeciesName=aculeatus&stockcode=144
151,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6968&GenusName=Argyropelecus&SpeciesName=hemigymnus&stockcode=7293
152,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=442&GenusName=Argyrops&SpeciesName=spinifer&stockcode=456
153,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=419&GenusName=Argyrosomus&SpeciesName=hololepidotus&stockcode=433
154,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=11979&GenusName=Argyrosomus&SpeciesName=japonicus&stockcode=12305
155,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=947&GenusName=Ariopsis&SpeciesName=felis&stockcode=963
156,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1285&GenusName=Arius&SpeciesName=arius&stockcode=1302
157,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=27633&GenusName=Arius&SpeciesName=dispar&stockcode=21609
158,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=23384&GenusName=Arius&SpeciesName=oetik&stockcode=18572
159,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=41&GenusName=Arnoglossus&SpeciesName=laterna&stockcode=51
160,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=43&GenusName=Arnoglossus&SpeciesName=thori&stockcode=53
161,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5425&GenusName=Arothron&SpeciesName=hispidus&stockcode=5687
162,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7187&GenusName=Arothron&SpeciesName=manilensis&stockcode=7298
163,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6401&GenusName=Arothron&SpeciesName=meleagris&stockcode=6722
164,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6400&GenusName=Arothron&SpeciesName=nigropunctatus&stockcode=6721
165,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6526&GenusName=Arothron&SpeciesName=stellatus&stockcode=6847
166,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5048&GenusName=Arripis&SpeciesName=trutta&stockcode=14356
167,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=14606&GenusName=Arripis&SpeciesName=truttacea&stockcode=14328
168,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7068&GenusName=Artedidraco&SpeciesName=skottsbergi&stockcode=7345
169,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=23953&GenusName=Artediellus&SpeciesName=camchaticus&stockcode=19044
170,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4048&GenusName=Artedius&SpeciesName=lateralis&stockcode=4244
171,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4157&GenusName=Aspidophoroides&SpeciesName=monopterygius&stockcode=4353
172,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=58410&GenusName=Aspistor&SpeciesName=luniscutis&stockcode=48107
173,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8123&GenusName=Asterorhombus&SpeciesName=intermedius&stockcode=8434
174,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7200&GenusName=Asterropteryx&SpeciesName=semipunctata&stockcode=7330
175,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=49592&GenusName=Astroblepus&SpeciesName=cyclopus&stockcode=41502
176,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3704&GenusName=Astroscopus&SpeciesName=y-graecum&stockcode=3900
177,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4475&GenusName=Astyanax&SpeciesName=bimaculatus&stockcode=4673
178,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=8080&GenusName=Astyanax&SpeciesName=fasciatus&stockcode=8391
179,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=12868&GenusName=Astyanax&SpeciesName=scabripinnis&stockcode=13199
180,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=518&GenusName=Atheresthes&SpeciesName=evermanni&stockcode=534
181,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=517&GenusName=Atheresthes&SpeciesName=stomias&stockcode=533
182,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1696&GenusName=Atherina&SpeciesName=boyeri&stockcode=1892
183,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1301&GenusName=Atherina&SpeciesName=breviceps&stockcode=1319
184,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7526&GenusName=Atherinella&SpeciesName=brasiliensis&stockcode=7830
185,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=15025&GenusName=Atherinomorus&SpeciesName=insularum&stockcode=14477
186,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1303&GenusName=Atherinomorus&SpeciesName=lacunosus&stockcode=1321
187,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3234&GenusName=Atherinomorus&SpeciesName=stipes&stockcode=3430
188,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=61247&GenusName=Atherinomorus&SpeciesName=vaigiensis&stockcode=51030
189,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=420&GenusName=Atractoscion&SpeciesName=aequidens&stockcode=434
190,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=3578&GenusName=Atractoscion&SpeciesName=nobilis&stockcode=3774
191,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7559&GenusName=Atrosalarias&SpeciesName=holomelas&stockcode=7863
192,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1893&GenusName=Atule&SpeciesName=mate&stockcode=2089
193,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=12910&GenusName=Auchenionchus&SpeciesName=microcirrhis&stockcode=13241
194,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=55254&GenusName=Auchenionchus&SpeciesName=variolosus&stockcode=45764
195,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=4320&GenusName=Aulichthys&SpeciesName=japonicus&stockcode=4510
196,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=964&GenusName=Aulostomus&SpeciesName=maculatus&stockcode=980
197,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=93&GenusName=Auxis&SpeciesName=rochei&stockcode=107
198,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=94&GenusName=Auxis&SpeciesName=thazard&stockcode=108
199,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=27290&GenusName=Awaous&SpeciesName=guamensis&stockcode=21355
200,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=16309&GenusName=Babka&SpeciesName=gymnotrachelus&stockcode=15037
201,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=959&GenusName=Bagre&SpeciesName=marinus&stockcode=975
202,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=5462&GenusName=Bagrus&SpeciesName=bajad&stockcode=5738
203,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1165&GenusName=Bairdiella&SpeciesName=chrysoura&stockcode=1181
204,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=1166&GenusName=Bairdiella&SpeciesName=ronchus&stockcode=1182
205,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus&stockcode=7628
206,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=19&GenusName=Balistes&SpeciesName=vetula&stockcode=27
207,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=23045&GenusName=Ballerus&SpeciesName=sapa&stockcode=18301
208,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=6377&GenusName=Barbatula&SpeciesName=barbatula&stockcode=6696
209,https://www.fishbase.de/TrophicEco/DietCompoList.php?ID=61649&GenusName=Barbatula&SpeciesName=toni&stockcode=51475
