,Larvae_Information
91,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3822&GenusName=Ammodytes&SpeciesName=hexapterus&stockcode=4018
92,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=37&GenusName=Ammodytes&SpeciesName=marinus&stockcode=47
93,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=487&GenusName=Ammodytes&SpeciesName=personatus&stockcode=503
94,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=38&GenusName=Ammodytes&SpeciesName=tobianus&stockcode=48
95,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=14923&GenusName=Amniataba&SpeciesName=caudavittata&stockcode=14424
96,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11959&GenusName=Amphiprion&SpeciesName=akindynos&stockcode=12285
97,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5448&GenusName=Amphiprion&SpeciesName=clarkii&stockcode=5713
98,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus&stockcode=4849
99,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9209&GenusName=Amphiprion&SpeciesName=percula&stockcode=9532
100,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2024&GenusName=Amphiprion&SpeciesName=perideraion&stockcode=2221
101,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8086&GenusName=Amphiprion&SpeciesName=polymnus&stockcode=8396
102,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4655&GenusName=Amphiprion&SpeciesName=tricinctus&stockcode=4850
103,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4919&GenusName=Anampses&SpeciesName=chrysocephalus&stockcode=5152
104,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4893&GenusName=Anampses&SpeciesName=twistii&stockcode=5126
105,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6483&GenusName=Anarchias&SpeciesName=allardicei&stockcode=6805
106,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6484&GenusName=Anarchias&SpeciesName=cantonensis&stockcode=6806
107,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9029&GenusName=Anarchias&SpeciesName=euryurus&stockcode=9350
108,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=13779&GenusName=Anarchias&SpeciesName=galapagensis&stockcode=13821
109,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus&stockcode=2695
110,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3812&GenusName=Anarhichas&SpeciesName=orientalis&stockcode=4008
111,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3813&GenusName=Anarrhichthys&SpeciesName=ocellatus&stockcode=4009
112,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1686&GenusName=Anchoa&SpeciesName=compressa&stockcode=1880
113,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=278&GenusName=Anchoa&SpeciesName=delicatissima&stockcode=292
114,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1133&GenusName=Anchoa&SpeciesName=hepsetus&stockcode=1149
115,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli&stockcode=561
116,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=59609&GenusName=Andamia&SpeciesName=amphibius&stockcode=49576
117,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=67068&GenusName=Andamia&SpeciesName=cyclocheilus&stockcode=58093
118,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=67069&GenusName=Andamia&SpeciesName=expansa&stockcode=58094
119,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=53821&GenusName=Andamia&SpeciesName=heteroptera&stockcode=44639
120,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=67070&GenusName=Andamia&SpeciesName=pacifica&stockcode=58095
121,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7750&GenusName=Andamia&SpeciesName=reyi&stockcode=8060
122,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=23771&GenusName=Andamia&SpeciesName=tetradactylus&stockcode=18893
123,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&stockcode=45
124,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=297&GenusName=Anguilla&SpeciesName=australis&stockcode=311
125,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=295&GenusName=Anguilla&SpeciesName=japonica&stockcode=309
126,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1275&GenusName=Anguilla&SpeciesName=marmorata&stockcode=1292
127,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&stockcode=310
128,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3568&GenusName=Anisotremus&SpeciesName=davidsonii&stockcode=3764
129,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1123&GenusName=Anisotremus&SpeciesName=surinamensis&stockcode=1139
130,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1124&GenusName=Anisotremus&SpeciesName=virginicus&stockcode=1140
131,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1619&GenusName=Anodontostoma&SpeciesName=chacunda&stockcode=1812
132,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3776&GenusName=Anoplarchus&SpeciesName=purpurescens&stockcode=3972
133,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2308&GenusName=Anoplogaster&SpeciesName=cornuta&stockcode=2504
134,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria&stockcode=528
135,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=27835&GenusName=Anostomus&SpeciesName=brevior&stockcode=21737
136,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=60529&GenusName=Anotopterus&SpeciesName=nikparini&stockcode=50297
137,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46412&GenusName=Antennablennius&SpeciesName=adenensis&stockcode=39102
138,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8042&GenusName=Antennablennius&SpeciesName=australis&stockcode=8353
139,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8041&GenusName=Antennablennius&SpeciesName=bifilum&stockcode=8352
140,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=62867&GenusName=Antennablennius&SpeciesName=ceylonensis&stockcode=52932
141,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46413&GenusName=Antennablennius&SpeciesName=hypenetes&stockcode=39103
142,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46414&GenusName=Antennablennius&SpeciesName=simonyi&stockcode=39104
143,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46415&GenusName=Antennablennius&SpeciesName=variopunctatus&stockcode=39105
144,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=67071&GenusName=Antennablennius&SpeciesName=velifer&stockcode=58096
145,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1692&GenusName=Anthias&SpeciesName=anthias&stockcode=1889
146,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3258&GenusName=Antigonia&SpeciesName=capros&stockcode=3454
147,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7651&GenusName=Antigonia&SpeciesName=rubescens&stockcode=7959
148,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=59043&GenusName=Aphanopus&SpeciesName=arigato&stockcode=48764
149,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=646&GenusName=Aphanopus&SpeciesName=carbo&stockcode=662
150,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=39&GenusName=Aphia&SpeciesName=minuta&stockcode=49
151,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=9196&GenusName=Apletodon&SpeciesName=dentatus&stockcode=9517
152,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=52462&GenusName=Aplodactylus&SpeciesName=lophodon&stockcode=43638
153,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46600&GenusName=Apogon&SpeciesName=atricaudus&stockcode=39258
154,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5752&GenusName=Apogon&SpeciesName=coccineus&stockcode=6045
155,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=3523&GenusName=Apogon&SpeciesName=guadalupensis&stockcode=3719
156,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1693&GenusName=Apogon&SpeciesName=imberbis&stockcode=1888
157,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46598&GenusName=Apogon&SpeciesName=retrosella&stockcode=39257
158,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=8232&GenusName=Apogonichthyoides&SpeciesName=niger&stockcode=8545
159,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=26632&GenusName=Apogonichthyoides&SpeciesName=pseudotaeniatus&stockcode=20827
160,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=127&GenusName=Apogonichthyoides&SpeciesName=taeniatus&stockcode=141
161,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=14356&GenusName=Apogonops&SpeciesName=anomalus&stockcode=14181
162,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6525&GenusName=Apolemichthys&SpeciesName=trimaculatus&stockcode=6846
163,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46353&GenusName=Apopterygion&SpeciesName=alta&stockcode=39059
164,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=46357&GenusName=Apopterygion&SpeciesName=oculus&stockcode=39060
165,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1788&GenusName=Apterichtus&SpeciesName=caecus&stockcode=1984
166,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4177&GenusName=Aptocyclus&SpeciesName=ventricosus&stockcode=4373
167,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=463&GenusName=Arctoscopus&SpeciesName=japonicus&stockcode=477
168,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6977&GenusName=Arctozenus&SpeciesName=risso&stockcode=7297
169,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=52433&GenusName=Arenigobius&SpeciesName=bifrenatus&stockcode=43614
170,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=22675&GenusName=Argentina&SpeciesName=kagoshimae&stockcode=17999
171,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2699&GenusName=Argentina&SpeciesName=sialis&stockcode=2895
172,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2700&GenusName=Argentina&SpeciesName=silus&stockcode=2896
173,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=20&GenusName=Argentina&SpeciesName=sphyraena&stockcode=30
174,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=2701&GenusName=Argentina&SpeciesName=striata&stockcode=2897
175,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11678&GenusName=Argyripnus&SpeciesName=atlanticus&stockcode=12004
176,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=40&GenusName=Argyropelecus&SpeciesName=affinis&stockcode=50
177,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6968&GenusName=Argyropelecus&SpeciesName=hemigymnus&stockcode=7293
178,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11549&GenusName=Argyropelecus&SpeciesName=lychnus&stockcode=11875
179,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7392&GenusName=Argyropelecus&SpeciesName=sladeni&stockcode=7693
180,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11979&GenusName=Argyrosomus&SpeciesName=japonicus&stockcode=12305
181,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1744&GenusName=Ariosoma&SpeciesName=balearicum&stockcode=1940
182,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=13603&GenusName=Ariosoma&SpeciesName=gilberti&stockcode=13717
183,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=11577&GenusName=Aristostomias&SpeciesName=scintillans&stockcode=11903
184,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1280&GenusName=Arius&SpeciesName=maculatus&stockcode=1297
185,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1295&GenusName=Arius&SpeciesName=subrostratus&stockcode=1313
186,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=42&GenusName=Arnoglossus&SpeciesName=imperialis&stockcode=52
187,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=12562&GenusName=Arnoglossus&SpeciesName=japonicus&stockcode=12906
188,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1809&GenusName=Arnoglossus&SpeciesName=kessleri&stockcode=2004
189,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=41&GenusName=Arnoglossus&SpeciesName=laterna&stockcode=51
190,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=1695&GenusName=Arnoglossus&SpeciesName=rueppelii&stockcode=1891
191,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=43&GenusName=Arnoglossus&SpeciesName=thori&stockcode=53
192,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5425&GenusName=Arothron&SpeciesName=hispidus&stockcode=5687
193,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7188&GenusName=Arothron&SpeciesName=immaculatus&stockcode=7300
194,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=5048&GenusName=Arripis&SpeciesName=trutta&stockcode=14356
195,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7064&GenusName=Artedidraco&SpeciesName=lonnbergi&stockcode=7342
196,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7065&GenusName=Artedidraco&SpeciesName=mirus&stockcode=7343
197,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=7068&GenusName=Artedidraco&SpeciesName=skottsbergi&stockcode=7345
198,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4046&GenusName=Artedius&SpeciesName=fenestralis&stockcode=4242
199,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4047&GenusName=Artedius&SpeciesName=harringtoni&stockcode=4243
200,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4048&GenusName=Artedius&SpeciesName=lateralis&stockcode=4244
201,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=4051&GenusName=Ascelichthys&SpeciesName=rhodorus&stockcode=4247
202,https://www.fishbase.de/Reproduction/LarvaeInfoList.php?ID=6065&GenusName=Aspidontus&SpeciesName=dussumieri&stockcode=6379
