,Descriptive_Characters_Of_Fish_Eggs
22,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1257&GenusName=Acanthurus&SpeciesName=leucosternon&fc=412&stockcode=1274
23,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4747&GenusName=Acanthurus&SpeciesName=nigricauda&fc=412&stockcode=4971
24,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4738&GenusName=Acanthurus&SpeciesName=nigroris&fc=412&stockcode=4962
25,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=942&GenusName=Acanthurus&SpeciesName=tractus&fc=412&stockcode=6762
26,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1260&GenusName=Acanthurus&SpeciesName=triostegus&fc=412&stockcode=1277
27,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59465&GenusName=Acarobythites&SpeciesName=larsonae&fc=472&stockcode=49197
28,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7994&GenusName=Acentronura&SpeciesName=gracilissima&fc=258&stockcode=8305
29,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=16862&GenusName=Acentronura&SpeciesName=tentaculata&fc=258&stockcode=15299
30,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4683&GenusName=Acipenser&SpeciesName=baerii&fc=32&stockcode=4901
31,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2590&GenusName=Acipenser&SpeciesName=brevirostrum&fc=32&stockcode=2786
32,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8737&GenusName=Acipenser&SpeciesName=dabryanus&fc=32&stockcode=9059
33,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2504&GenusName=Acipenser&SpeciesName=naccarii&fc=32&stockcode=2698
34,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus&fc=32&stockcode=2789
35,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii&fc=32&stockcode=6399
36,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8762&GenusName=Acipenser&SpeciesName=sinensis&fc=32&stockcode=9084
37,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&fc=32&stockcode=2790
38,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3073&GenusName=Acyrtops&SpeciesName=beryllinus&fc=434&stockcode=3269
39,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13108&GenusName=Aequidens&SpeciesName=diadema&fc=349&stockcode=13418
40,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=51472&GenusName=Aequidens&SpeciesName=michaeli&fc=349&stockcode=43027
41,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46594&GenusName=Aequidens&SpeciesName=potaroensis&fc=349&stockcode=39253
42,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7037&GenusName=Aethotaxis&SpeciesName=mitopteryx&fc=382&stockcode=7375
43,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5011&GenusName=Aetomylaeus&SpeciesName=bovinus&fc=22&stockcode=5245
44,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=61407&GenusName=Agonostomus&SpeciesName=catalai&fc=359&stockcode=51192
45,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7860&GenusName=Agonostomus&SpeciesName=telfairii&fc=359&stockcode=8170
46,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&fc=283&stockcode=46
47,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22983&GenusName=Ahliesaurus&SpeciesName=brevis&fc=470&stockcode=18246
48,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=25971&GenusName=Aidablennius&SpeciesName=sphynx&fc=392&stockcode=20482
49,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7093&GenusName=Akarotaxis&SpeciesName=nudiceps&fc=383&stockcode=7475
50,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58326&GenusName=Albula&SpeciesName=argentea&fc=48&stockcode=47996
51,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=65525&GenusName=Albula&SpeciesName=esuncula&fc=48&stockcode=55712
52,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=66312&GenusName=Albula&SpeciesName=gilberti&fc=48&stockcode=56979
53,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=11512&GenusName=Albula&SpeciesName=glossodonta&fc=48&stockcode=11838
54,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=66113&GenusName=Albula&SpeciesName=koreana&fc=48&stockcode=56541
55,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7334&GenusName=Albula&SpeciesName=nemoptera&fc=48&stockcode=7634
56,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=63907&GenusName=Albula&SpeciesName=oligolepis&fc=48&stockcode=54053
57,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=67476&GenusName=Albula&SpeciesName=pacifica&fc=48&stockcode=58751
58,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=63908&GenusName=Albula&SpeciesName=virgata&fc=48&stockcode=54552
59,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48&stockcode=242
60,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&fc=122&stockcode=4954
61,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=61290&GenusName=Alcichthys&SpeciesName=elongatus&fc=277&stockcode=51076
62,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=52723&GenusName=Alcockia&SpeciesName=rostrata&fc=186&stockcode=43849
63,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2033&GenusName=Alcolapia&SpeciesName=grahami&fc=349&stockcode=2230
64,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=12938&GenusName=Aldrichetta&SpeciesName=forsteri&fc=359&stockcode=13270
65,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1888&GenusName=Alectis&SpeciesName=alexandrina&fc=314&stockcode=2084
66,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba&fc=314&stockcode=2085
67,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9171&GenusName=Alepocephalus&SpeciesName=agassizii&fc=86&stockcode=9492
68,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58901&GenusName=Alepocephalus&SpeciesName=antipodianus&fc=86&stockcode=48622
69,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58903&GenusName=Alepocephalus&SpeciesName=asperifrons&fc=86&stockcode=48623
70,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9172&GenusName=Alepocephalus&SpeciesName=australis&fc=86&stockcode=9493
71,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=230&GenusName=Alepocephalus&SpeciesName=bairdii&fc=86&stockcode=244
72,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7592&GenusName=Alepocephalus&SpeciesName=bicolor&fc=86&stockcode=7896
73,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58904&GenusName=Alepocephalus&SpeciesName=blanfordii&fc=86&stockcode=48625
74,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=60307&GenusName=Alepocephalus&SpeciesName=dentifer&fc=86&stockcode=50059
75,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58908&GenusName=Alepocephalus&SpeciesName=fundulus&fc=86&stockcode=48629
76,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22691&GenusName=Alepocephalus&SpeciesName=longiceps&fc=86&stockcode=18013
77,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22693&GenusName=Alepocephalus&SpeciesName=longirostris&fc=86&stockcode=18016
78,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=55082&GenusName=Alepocephalus&SpeciesName=melas&fc=86&stockcode=45616
79,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22688&GenusName=Alepocephalus&SpeciesName=owstoni&fc=86&stockcode=18011
80,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=58911&GenusName=Alepocephalus&SpeciesName=planifrons&fc=86&stockcode=48632
81,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=10000&GenusName=Alepocephalus&SpeciesName=productus&fc=86&stockcode=10323
82,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5071&GenusName=Alepocephalus&SpeciesName=rostratus&fc=86&stockcode=5309
83,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=11590&GenusName=Alepocephalus&SpeciesName=tenebrosus&fc=86&stockcode=11916
84,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22694&GenusName=Alepocephalus&SpeciesName=triangularis&fc=86&stockcode=18017
85,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=22687&GenusName=Alepocephalus&SpeciesName=umbriceps&fc=86&stockcode=18010
86,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2405&GenusName=Alestes&SpeciesName=baremoze&fc=518&stockcode=2599
87,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=56405&GenusName=Alionematichthys&SpeciesName=minyomma&fc=723&stockcode=46451
88,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=27338&GenusName=Alionematichthys&SpeciesName=riukiuensis&fc=723&stockcode=21384
89,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=14035&GenusName=Allenichthys&SpeciesName=glauerti&fc=192&stockcode=13972
90,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=52390&GenusName=Alloblennius&SpeciesName=anuchalis&fc=392&stockcode=43585
91,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=66456&GenusName=Alloblennius&SpeciesName=frondiculus&fc=392&stockcode=57149
92,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6046&GenusName=Alloblennius&SpeciesName=jugularis&fc=392&stockcode=6360
93,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=16940&GenusName=Alloblennius&SpeciesName=parvus&fc=392&stockcode=15358
94,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=52391&GenusName=Alloblennius&SpeciesName=pictus&fc=392&stockcode=43586
95,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2694&GenusName=Allosmerus&SpeciesName=elongatus&fc=80&stockcode=2890
96,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1574&GenusName=Alosa&SpeciesName=aestivalis&fc=43&stockcode=1767
97,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&fc=43&stockcode=1772
98,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&fc=43&stockcode=119
99,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1581&GenusName=Alosa&SpeciesName=maeotica&fc=43&stockcode=1774
100,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1582&GenusName=Alosa&SpeciesName=mediocris&fc=43&stockcode=1775
101,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus&fc=43&stockcode=1776
102,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima&fc=43&stockcode=1777
103,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=48090&GenusName=Alosa&SpeciesName=tanaica&fc=43&stockcode=40384
104,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=52971&GenusName=Alticus&SpeciesName=anjouanae&fc=392&stockcode=43981
105,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=56805&GenusName=Alticus&SpeciesName=arnoldorum&fc=392&stockcode=46687
106,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=46411&GenusName=Alticus&SpeciesName=kirkii&fc=392&stockcode=39101
107,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9919&GenusName=Alticus&SpeciesName=monochrus&fc=392&stockcode=10242
108,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=59611&GenusName=Alticus&SpeciesName=montanoi&fc=392&stockcode=49344
109,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6031&GenusName=Alticus&SpeciesName=saliens&fc=392&stockcode=6345
110,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=62209&GenusName=Alticus&SpeciesName=sertatus&fc=392&stockcode=52173
111,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=61229&GenusName=Alticus&SpeciesName=simplicirrus&fc=392&stockcode=51012
112,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8134&GenusName=Altolamprologus&SpeciesName=calvus&fc=349&stockcode=8445
113,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3615&GenusName=Amatitlania&SpeciesName=nigrofasciata&fc=349&stockcode=3811
114,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=15901&GenusName=Amatitlania&SpeciesName=sajica&fc=349&stockcode=14926
115,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=26768&GenusName=Amatitlania&SpeciesName=septemfasciata&fc=349&stockcode=20933
116,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=554&GenusName=Amazonsprattus&SpeciesName=scintilla&fc=454&stockcode=570
117,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=15126&GenusName=Ambassis&SpeciesName=jacksoniensis&fc=509&stockcode=14513
118,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=15129&GenusName=Ambassis&SpeciesName=marianus&fc=509&stockcode=14515
119,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris&fc=302&stockcode=3557
120,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6520&GenusName=Amblyeleotris&SpeciesName=japonica&fc=405&stockcode=6841
121,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&fc=405&stockcode=7327
122,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=24301&GenusName=Amblypharyngodon&SpeciesName=mola&fc=122&stockcode=19294
123,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13209&GenusName=Amblyraja&SpeciesName=badia&fc=19&stockcode=13534
124,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=54120&GenusName=Amblyraja&SpeciesName=doellojuradoi&fc=19&stockcode=44895
125,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=54121&GenusName=Amblyraja&SpeciesName=frerichsi&fc=19&stockcode=44896
126,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6953&GenusName=Amblyraja&SpeciesName=georgiana&fc=19&stockcode=7285
127,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=9256&GenusName=Amblyraja&SpeciesName=hyperborea&fc=19&stockcode=9578
128,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=27757&GenusName=Amblyraja&SpeciesName=jenseni&fc=19&stockcode=21697
129,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata&fc=19&stockcode=2761
130,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=54089&GenusName=Amblyraja&SpeciesName=reversa&fc=19&stockcode=44865
131,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=25570&GenusName=Amblyraja&SpeciesName=robertsi&fc=19&stockcode=20174
132,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=6954&GenusName=Amblyraja&SpeciesName=taaf&fc=19&stockcode=7288
133,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2600&GenusName=Amia&SpeciesName=calva&fc=35&stockcode=2796
134,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=13009&GenusName=Amioides&SpeciesName=polyacanthus&fc=304&stockcode=13330
135,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3820&GenusName=Ammodytes&SpeciesName=americanus&fc=402&stockcode=4016
136,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3821&GenusName=Ammodytes&SpeciesName=dubius&fc=402&stockcode=4017
137,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3822&GenusName=Ammodytes&SpeciesName=hexapterus&fc=402&stockcode=4018
138,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=37&GenusName=Ammodytes&SpeciesName=marinus&fc=402&stockcode=47
139,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=38&GenusName=Ammodytes&SpeciesName=tobianus&fc=402&stockcode=48
140,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8837&GenusName=Ammotretis&SpeciesName=rostratus&fc=704&stockcode=9158
141,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3279&GenusName=Amphelikturus&SpeciesName=dendriticus&fc=258&stockcode=3475
142,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=967&GenusName=Amphichthys&SpeciesName=cryptocentrus&fc=189&stockcode=983
143,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2448&GenusName=Amphilius&SpeciesName=atesuensis&fc=136&stockcode=2642
144,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=4786&GenusName=Amphilophus&SpeciesName=citrinellus&fc=349&stockcode=5010
145,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=11837&GenusName=Amphiprion&SpeciesName=bicinctus&fc=350&stockcode=12163
146,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=5448&GenusName=Amphiprion&SpeciesName=clarkii&fc=350&stockcode=5713
147,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2024&GenusName=Amphiprion&SpeciesName=perideraion&fc=350&stockcode=2221
148,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=8086&GenusName=Amphiprion&SpeciesName=polymnus&fc=350&stockcode=8396
149,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=14271&GenusName=Amsichthys&SpeciesName=knighti&fc=291&stockcode=14121
150,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=495&GenusName=Anabas&SpeciesName=testudineus&fc=426&stockcode=511
151,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3287&GenusName=Anarchopterus&SpeciesName=criniger&fc=258&stockcode=3483
152,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=3290&GenusName=Anarchopterus&SpeciesName=tectus&fc=258&stockcode=3486
153,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus&fc=396&stockcode=2695
154,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1666&GenusName=Anchoa&SpeciesName=analis&fc=454&stockcode=1859
155,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1680&GenusName=Anchoa&SpeciesName=argentivittata&fc=454&stockcode=1874
156,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1681&GenusName=Anchoa&SpeciesName=belizensis&fc=454&stockcode=1875
157,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1682&GenusName=Anchoa&SpeciesName=cayorum&fc=454&stockcode=1876
158,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1683&GenusName=Anchoa&SpeciesName=chamensis&fc=454&stockcode=1877
159,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1684&GenusName=Anchoa&SpeciesName=choerostoma&fc=454&stockcode=1878
160,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1685&GenusName=Anchoa&SpeciesName=colonensis&fc=454&stockcode=1879
161,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1686&GenusName=Anchoa&SpeciesName=compressa&fc=454&stockcode=1880
162,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1687&GenusName=Anchoa&SpeciesName=cubana&fc=454&stockcode=1881
163,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=279&GenusName=Anchoa&SpeciesName=curta&fc=454&stockcode=293
164,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=278&GenusName=Anchoa&SpeciesName=delicatissima&fc=454&stockcode=292
165,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=280&GenusName=Anchoa&SpeciesName=eigenmannia&fc=454&stockcode=294
166,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1137&GenusName=Anchoa&SpeciesName=exigua&fc=454&stockcode=1153
167,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=926&GenusName=Anchoa&SpeciesName=filifera&fc=454&stockcode=942
168,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1689&GenusName=Anchoa&SpeciesName=helleri&fc=454&stockcode=1882
169,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1133&GenusName=Anchoa&SpeciesName=hepsetus&fc=454&stockcode=1149
170,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1127&GenusName=Anchoa&SpeciesName=ischana&fc=454&stockcode=1143
171,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=435&GenusName=Anchoa&SpeciesName=januaria&fc=454&stockcode=449
172,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1688&GenusName=Anchoa&SpeciesName=lamprotaenia&fc=454&stockcode=1883
173,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=931&GenusName=Anchoa&SpeciesName=lucida&fc=454&stockcode=947
174,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1132&GenusName=Anchoa&SpeciesName=lyolepis&fc=454&stockcode=1148
175,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=925&GenusName=Anchoa&SpeciesName=marinii&fc=454&stockcode=941
176,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli&fc=454&stockcode=561
177,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=730&GenusName=Anchoa&SpeciesName=mundeola&fc=454&stockcode=746
178,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=570&GenusName=Anchoa&SpeciesName=mundeoloides&fc=454&stockcode=586
179,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=1163&GenusName=Anchoa&SpeciesName=nasus&fc=454&stockcode=1179
180,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=534&GenusName=Anchoa&SpeciesName=panamensis&fc=454&stockcode=550
181,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=535&GenusName=Anchoa&SpeciesName=parva&fc=454&stockcode=551
182,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=536&GenusName=Anchoa&SpeciesName=pectoralis&fc=454&stockcode=552
183,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=537&GenusName=Anchoa&SpeciesName=scofieldi&fc=454&stockcode=553
184,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=538&GenusName=Anchoa&SpeciesName=spinifer&fc=454&stockcode=554
185,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=539&GenusName=Anchoa&SpeciesName=starksi&fc=454&stockcode=555
186,https://www.fishbase.de/Reproduction/FishEggInfoSummary.php?ID=540&GenusName=Anchoa&SpeciesName=tricolor&fc=454&stockcode=556
