,Species_with_Information_on_Predators
163,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1301&GenusName=Atherina&SpeciesName=breviceps
164,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1697&GenusName=Atherina&SpeciesName=hepsetus
165,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1303&GenusName=Atherinomorus&SpeciesName=lacunosus
166,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3234&GenusName=Atherinomorus&SpeciesName=stipes
167,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=61247&GenusName=Atherinomorus&SpeciesName=vaigiensis
168,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3235&GenusName=Atherinops&SpeciesName=affinis
169,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3236&GenusName=Atherinopsis&SpeciesName=californiensis
170,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=52323&GenusName=Atherinosoma&SpeciesName=elongata
171,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=10300&GenusName=Atrophacanthus&SpeciesName=japonicus
172,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2007&GenusName=Auchenoceros&SpeciesName=punctatus
173,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1698&GenusName=Aulopus&SpeciesName=filamentosus
174,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3270&GenusName=Aulorhynchus&SpeciesName=flavidus
175,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1309&GenusName=Aulostomus&SpeciesName=chinensis
176,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=964&GenusName=Aulostomus&SpeciesName=maculatus
177,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4679&GenusName=Australoheros&SpeciesName=facetus
178,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=527&GenusName=Austroglossus&SpeciesName=microlepis
179,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=528&GenusName=Austroglossus&SpeciesName=pectoralis
180,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=93&GenusName=Auxis&SpeciesName=rochei
181,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=94&GenusName=Auxis&SpeciesName=thazard
182,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5099&GenusName=Avocettina&SpeciesName=infans
183,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=14525&GenusName=Azygopus&SpeciesName=pinnifasciatus
184,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=958&GenusName=Bagre&SpeciesName=bagre
185,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=959&GenusName=Bagre&SpeciesName=marinus
186,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5462&GenusName=Bagrus&SpeciesName=bajad
187,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6519&GenusName=Bagrus&SpeciesName=docmak
188,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4721&GenusName=Bagrus&SpeciesName=meridionalis
189,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1165&GenusName=Bairdiella&SpeciesName=chrysoura
190,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6025&GenusName=Balistapus&SpeciesName=undulatus
191,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7327&GenusName=Balistes&SpeciesName=capriscus
192,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4276&GenusName=Balistes&SpeciesName=polylepis
193,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=19&GenusName=Balistes&SpeciesName=vetula
194,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6377&GenusName=Barbatula&SpeciesName=barbatula
195,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4472&GenusName=Barbus&SpeciesName=barbus
196,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2637&GenusName=Bascanichthys&SpeciesName=bascanium
197,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=15663&GenusName=Bassanago&SpeciesName=albescens
198,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=13968&GenusName=Bassanago&SpeciesName=bulbiceps
199,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=11568&GenusName=Bathophilus&SpeciesName=flemingi
200,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4159&GenusName=Bathyagonus&SpeciesName=alascanus
201,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4161&GenusName=Bathyagonus&SpeciesName=nigripinnis
202,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4162&GenusName=Bathyagonus&SpeciesName=pentacanthus
203,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=5479&GenusName=Bathygadus&SpeciesName=macrops
204,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7201&GenusName=Bathygobius&SpeciesName=fuscus
205,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=11833&GenusName=Bathylagus&SpeciesName=euryops
206,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3692&GenusName=Bathymaster&SpeciesName=signatus
207,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=9133&GenusName=Bathypterois&SpeciesName=dubius
208,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=51178&GenusName=Bathyraja&SpeciesName=albomaculata
209,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=51184&GenusName=Bathyraja&SpeciesName=brachyurops
210,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=27229&GenusName=Bathyraja&SpeciesName=griseocauda
211,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2559&GenusName=Bathyraja&SpeciesName=interrupta
212,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6949&GenusName=Bathyraja&SpeciesName=irrasa
213,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=54023&GenusName=Bathyraja&SpeciesName=multispinis
214,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6952&GenusName=Bathyraja&SpeciesName=murrayi
215,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=52472&GenusName=Bathyraja&SpeciesName=scaphiops
216,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=14255&GenusName=Bellator&SpeciesName=loxias
217,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4015&GenusName=Bellator&SpeciesName=xenisma
218,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=47&GenusName=Belone&SpeciesName=belone
219,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3697&GenusName=Bembrops&SpeciesName=gobioides
220,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4934&GenusName=Bembrops&SpeciesName=heterurus
221,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8553&GenusName=Benthodesmus&SpeciesName=simonyi
222,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8563&GenusName=Benthodesmus&SpeciesName=tenuis
223,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7423&GenusName=Benthosema&SpeciesName=fibulatum
224,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=21&GenusName=Benthosema&SpeciesName=glaciale
225,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=50707&GenusName=Benthosema&SpeciesName=panamense
226,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=10238&GenusName=Benthosema&SpeciesName=pterotum
227,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6589&GenusName=Benthosema&SpeciesName=suborbitale
228,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=2556&GenusName=Beringraja&SpeciesName=binoculata
229,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1319&GenusName=Beryx&SpeciesName=decadactylus
230,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1320&GenusName=Beryx&SpeciesName=splendens
231,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=7871&GenusName=Blenniella&SpeciesName=gibbifrons
232,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6051&GenusName=Blenniella&SpeciesName=periophthalmus
233,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=4471&GenusName=Blicca&SpeciesName=bjoerkna
234,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=6580&GenusName=Bodianus&SpeciesName=bilunulatus
235,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=8270&GenusName=Bodianus&SpeciesName=diplotaenia
236,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=1067&GenusName=Bodianus&SpeciesName=rufus
237,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=11876&GenusName=Bolinichthys&SpeciesName=photothorax
238,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=15974&GenusName=Bolinichthys&SpeciesName=pyrsobolus
239,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=3838&GenusName=Bollmannia&SpeciesName=boqueronensis
240,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=53709&GenusName=Bollmannia&SpeciesName=stigmatura
241,https://www.fishbase.de/TrophicEco/PredatorList.php?ID=9965&GenusName=Bonapartia&SpeciesName=pedaliota
