,Length_Weight_Parameters
117,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5011&GenusName=Aetomylaeus&SpeciesName=bovinus&fc=22
118,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=47969&GenusName=Ageneiosus&SpeciesName=inermis&fc=147
119,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=53698&GenusName=Ageneiosus&SpeciesName=militaris&fc=147
120,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=53704&GenusName=Ageneiosus&SpeciesName=pardalis&fc=147
121,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=48607&GenusName=Ageneiosus&SpeciesName=ucayalensis&fc=147
122,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=51817&GenusName=Agoniates&SpeciesName=halecinus&fc=688
123,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1085&GenusName=Agonostomus&SpeciesName=monticola&fc=359
124,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&fc=283
125,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2633&GenusName=Ahlia&SpeciesName=egmontis&fc=66
126,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=13334&GenusName=Ailia&SpeciesName=coila&fc=721
127,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=24749&GenusName=Ailiichthys&SpeciesName=punctata&fc=721
128,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=8435&GenusName=Albatrossia&SpeciesName=pectoralis&fc=185
129,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65525&GenusName=Albula&SpeciesName=esuncula&fc=48
130,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=7334&GenusName=Albula&SpeciesName=nemoptera&fc=48
131,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=63908&GenusName=Albula&SpeciesName=virgata&fc=48
132,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48
133,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4875&GenusName=Alburnoides&SpeciesName=bipunctatus&fc=122
134,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65180&GenusName=Alburnoides&SpeciesName=eichwaldii&fc=122
135,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65181&GenusName=Alburnoides&SpeciesName=fasciatus&fc=122
136,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65154&GenusName=Alburnoides&SpeciesName=idignensis&fc=122
137,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65153&GenusName=Alburnoides&SpeciesName=nicolausi&fc=122
138,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65151&GenusName=Alburnoides&SpeciesName=petrubanarescui&fc=122
139,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65088&GenusName=Alburnoides&SpeciesName=prespensis&fc=122
140,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=67868&GenusName=Alburnoides&SpeciesName=samiii&fc=122
141,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65224&GenusName=Alburnus&SpeciesName=adanensis&fc=122
142,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&fc=122
143,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=62353&GenusName=Alburnus&SpeciesName=arborella&fc=122
144,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55304&GenusName=Alburnus&SpeciesName=atropatenae&fc=122
145,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=25857&GenusName=Alburnus&SpeciesName=belvica&fc=122
146,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52604&GenusName=Alburnus&SpeciesName=caeruleus&fc=122
147,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5473&GenusName=Alburnus&SpeciesName=chalcoides&fc=122
148,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=48172&GenusName=Alburnus&SpeciesName=hohenackeri&fc=122
149,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52610&GenusName=Alburnus&SpeciesName=mossulensis&fc=122
150,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=52615&GenusName=Alburnus&SpeciesName=orontis&fc=122
151,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=61862&GenusName=Alburnus&SpeciesName=qalilus&fc=122
152,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65057&GenusName=Alburnus&SpeciesName=scoranza&fc=122
153,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=65226&GenusName=Alburnus&SpeciesName=thessalicus&fc=122
154,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=61290&GenusName=Alcichthys&SpeciesName=elongatus&fc=277
155,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1888&GenusName=Alectis&SpeciesName=alexandrina&fc=314
156,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=988&GenusName=Alectis&SpeciesName=ciliaris&fc=314
157,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=10&GenusName=Alectis&SpeciesName=indica&fc=314
158,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba&fc=314
159,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1903&GenusName=Alepes&SpeciesName=kleinii&fc=314
160,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1890&GenusName=Alepes&SpeciesName=melanoptera&fc=314
161,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=99&GenusName=Alepisaurus&SpeciesName=ferox&fc=171
162,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=58901&GenusName=Alepocephalus&SpeciesName=antipodianus&fc=86
163,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9172&GenusName=Alepocephalus&SpeciesName=australis&fc=86
164,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=230&GenusName=Alepocephalus&SpeciesName=bairdii&fc=86
165,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5071&GenusName=Alepocephalus&SpeciesName=rostratus&fc=86
166,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2405&GenusName=Alestes&SpeciesName=baremoze&fc=518
167,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5230&GenusName=Alestes&SpeciesName=macrophthalmus&fc=518
168,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=24122&GenusName=Allocareproctus&SpeciesName=jordani&fc=615
169,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=11685&GenusName=Allocyttus&SpeciesName=folletti&fc=250
170,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=12962&GenusName=Allocyttus&SpeciesName=niger&fc=250
171,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9144&GenusName=Allocyttus&SpeciesName=verrucosus&fc=250
172,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=91&GenusName=Allothunnus&SpeciesName=fallai&fc=416
173,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5891&GenusName=Alopias&SpeciesName=pelagicus&fc=486
174,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2534&GenusName=Alopias&SpeciesName=superciliosus&fc=486
175,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=2535&GenusName=Alopias&SpeciesName=vulpinus&fc=486
176,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=28201&GenusName=Alosa&SpeciesName=agone&fc=43
177,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=101&GenusName=Alosa&SpeciesName=alosa&fc=43
178,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1576&GenusName=Alosa&SpeciesName=braschnikowi&fc=43
179,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia&fc=43
180,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1578&GenusName=Alosa&SpeciesName=chrysochloris&fc=43
181,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&fc=43
182,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&fc=43
183,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri&fc=43
184,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=25775&GenusName=Alosa&SpeciesName=macedonica&fc=43
185,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1581&GenusName=Alosa&SpeciesName=maeotica&fc=43
186,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1582&GenusName=Alosa&SpeciesName=mediocris&fc=43
187,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus&fc=43
188,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima&fc=43
189,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1585&GenusName=Alosa&SpeciesName=saposchnikowii&fc=43
190,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=48090&GenusName=Alosa&SpeciesName=tanaica&fc=43
191,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4274&GenusName=Aluterus&SpeciesName=monoceros&fc=517
192,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1081&GenusName=Aluterus&SpeciesName=schoepfii&fc=517
193,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus&fc=517
194,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3615&GenusName=Amatitlania&SpeciesName=nigrofasciata&fc=349
195,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=61467&GenusName=Ambassis&SpeciesName=ambassis&fc=509
196,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=4806&GenusName=Ambassis&SpeciesName=gymnocephalus&fc=509
197,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta&fc=509
198,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=8016&GenusName=Ambassis&SpeciesName=natalensis&fc=509
199,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=9235&GenusName=Ambassis&SpeciesName=urotaenia&fc=509
200,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3359&GenusName=Ambloplites&SpeciesName=ariommus&fc=302
201,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3358&GenusName=Ambloplites&SpeciesName=cavifrons&fc=302
202,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3360&GenusName=Ambloplites&SpeciesName=constellatus&fc=302
203,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris&fc=302
204,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=62764&GenusName=Amblyceps&SpeciesName=apangi&fc=135
205,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=63443&GenusName=Amblyceps&SpeciesName=arunchalensis&fc=135
206,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=15855&GenusName=Amblychaeturichthys&SpeciesName=hexanema&fc=405
207,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5829&GenusName=Amblycirrhitus&SpeciesName=bimacula&fc=352
208,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=3655&GenusName=Amblycirrhitus&SpeciesName=pinos&fc=352
209,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=6671&GenusName=Amblyeleotris&SpeciesName=guttata&fc=405
210,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=12699&GenusName=Amblyeleotris&SpeciesName=sungami&fc=405
211,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1499&GenusName=Amblygaster&SpeciesName=clupeoides&fc=43
212,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1500&GenusName=Amblygaster&SpeciesName=leiogaster&fc=43
213,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=1501&GenusName=Amblygaster&SpeciesName=sirm&fc=43
214,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao&fc=350
215,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=5691&GenusName=Amblyglyphidodon&SpeciesName=leucogaster&fc=350
216,https://www.fishbase.de/popdyn/LWRelationshipList.php?ID=55505&GenusName=Amblygobius&SpeciesName=bynoensis&fc=405
