,Ecology
41,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=365&GenusName=Acanthistius&SpeciesName=brasilianus
42,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=49603&GenusName=Acanthistius&SpeciesName=fuscus
43,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=47526&GenusName=Acanthistius&SpeciesName=pictus
44,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58894&GenusName=Acanthobrama&SpeciesName=orontis
45,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58893&GenusName=Acanthobrama&SpeciesName=thisbeae
46,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10677&GenusName=Acanthocepola&SpeciesName=abbreviata
47,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9537&GenusName=Acanthocepola&SpeciesName=krusensternii
48,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9367&GenusName=Acanthochaenus&SpeciesName=luetkenii
49,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6975&GenusName=Acanthochromis&SpeciesName=polyacanthus
50,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13196&GenusName=Acanthoclinus&SpeciesName=fuscus
51,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=41262&GenusName=Acanthoclinus&SpeciesName=littoreus
52,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39035&GenusName=Acanthoclinus&SpeciesName=marilynae
53,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12582&GenusName=Acanthocobitis&SpeciesName=botia
54,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=19491&GenusName=Acanthocobitis&SpeciesName=mooreh
55,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=19515&GenusName=Acanthocobitis&SpeciesName=rubidipinnis
56,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10700&GenusName=Acanthocobitis&SpeciesName=urophthalmus
57,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=104&GenusName=Acanthocybium&SpeciesName=solandri
58,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=40003&GenusName=Acanthodoras&SpeciesName=cataphractus
59,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4028&GenusName=Acanthogobius&SpeciesName=flavimanus
60,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13368&GenusName=Acanthogobius&SpeciesName=hasta
61,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18836&GenusName=Acanthogobius&SpeciesName=lactipes
62,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7941&GenusName=Acantholabrus&SpeciesName=palloni
63,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=3967&GenusName=Acantholumpenus&SpeciesName=mackayi
64,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58558&GenusName=Acanthopagrus&SpeciesName=arabicus
65,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8419&GenusName=Acanthopagrus&SpeciesName=australis
66,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5815&GenusName=Acanthopagrus&SpeciesName=berda
67,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4728&GenusName=Acanthopagrus&SpeciesName=bifasciatus
68,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=14324&GenusName=Acanthopagrus&SpeciesName=butcheri
69,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58507&GenusName=Acanthopagrus&SpeciesName=catenula
70,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6669&GenusName=Acanthopagrus&SpeciesName=latus
71,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=56136&GenusName=Acanthopagrus&SpeciesName=pacificus
72,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6852&GenusName=Acanthopagrus&SpeciesName=schlegelii
73,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6905&GenusName=Acanthopagrus&SpeciesName=sivicolus
74,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=47627&GenusName=Acanthoplesiops&SpeciesName=echinatus
75,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15625&GenusName=Acanthoplesiops&SpeciesName=hiatti
76,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8315&GenusName=Acanthoplesiops&SpeciesName=indicus
77,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=40981&GenusName=Acanthopoma&SpeciesName=annectens
78,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9157&GenusName=Acanthopsetta&SpeciesName=nadeshnyi
79,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=21018&GenusName=Acanthopsoides&SpeciesName=delphax
80,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=21019&GenusName=Acanthopsoides&SpeciesName=gracilentus
81,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=21054&GenusName=Acanthopsoides&SpeciesName=gracilis
82,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=21021&GenusName=Acanthopsoides&SpeciesName=hapalias
83,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18266&GenusName=Acanthopsoides&SpeciesName=molobrion
84,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20053&GenusName=Acanthosphex&SpeciesName=leurynnis
85,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4483&GenusName=Acanthostracion&SpeciesName=polygonius
86,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=106&GenusName=Acanthostracion&SpeciesName=quadricornis
87,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4501&GenusName=Acanthurus&SpeciesName=achilles
88,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13814&GenusName=Acanthurus&SpeciesName=albipectoralis
89,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4972&GenusName=Acanthurus&SpeciesName=auranticavus
90,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4502&GenusName=Acanthurus&SpeciesName=bariene
91,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4974&GenusName=Acanthurus&SpeciesName=blochii
92,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=959&GenusName=Acanthurus&SpeciesName=chirurgus
93,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=960&GenusName=Acanthurus&SpeciesName=coeruleus
94,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1272&GenusName=Acanthurus&SpeciesName=dussumieri
95,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15649&GenusName=Acanthurus&SpeciesName=gahhm
96,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4973&GenusName=Acanthurus&SpeciesName=grammoptilus
97,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4960&GenusName=Acanthurus&SpeciesName=guttatus
98,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4965&GenusName=Acanthurus&SpeciesName=leucocheilus
99,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4961&GenusName=Acanthurus&SpeciesName=leucopareius
100,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1274&GenusName=Acanthurus&SpeciesName=leucosternon
101,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1275&GenusName=Acanthurus&SpeciesName=lineatus
102,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4970&GenusName=Acanthurus&SpeciesName=maculiceps
103,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1271&GenusName=Acanthurus&SpeciesName=mata
104,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1996&GenusName=Acanthurus&SpeciesName=monroviae
105,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6325&GenusName=Acanthurus&SpeciesName=nigricans
106,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4971&GenusName=Acanthurus&SpeciesName=nigricauda
107,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4963&GenusName=Acanthurus&SpeciesName=nigrofuscus
108,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4962&GenusName=Acanthurus&SpeciesName=nigroris
109,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4957&GenusName=Acanthurus&SpeciesName=nubilus
110,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4968&GenusName=Acanthurus&SpeciesName=olivaceus
111,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4966&GenusName=Acanthurus&SpeciesName=pyroferus
112,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4101&GenusName=Acanthurus&SpeciesName=randalli
113,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4964&GenusName=Acanthurus&SpeciesName=sohal
114,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1276&GenusName=Acanthurus&SpeciesName=tennentii
115,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4958&GenusName=Acanthurus&SpeciesName=thompsoni
116,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6762&GenusName=Acanthurus&SpeciesName=tractus
117,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1277&GenusName=Acanthurus&SpeciesName=triostegus
118,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1278&GenusName=Acanthurus&SpeciesName=xanthopterus
119,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18275&GenusName=Acantopsis&SpeciesName=dialuzona
120,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=60098&GenusName=Acantopsis&SpeciesName=dinema
121,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=60099&GenusName=Acantopsis&SpeciesName=ioa
122,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=60097&GenusName=Acantopsis&SpeciesName=rungthipae
123,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=57154&GenusName=Acantopsis&SpeciesName=spectabilis
124,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=11597&GenusName=Acapoeta&SpeciesName=tanganicae
125,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12584&GenusName=Acarichthys&SpeciesName=heckelii
126,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=49197&GenusName=Acarobythites&SpeciesName=larsonae
127,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12586&GenusName=Acaronia&SpeciesName=nassa
128,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=39232&GenusName=Acaronia&SpeciesName=vultuosa
129,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5127&GenusName=Acentrogobius&SpeciesName=caninus
130,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=44906&GenusName=Acentrogobius&SpeciesName=chlorostigmatoides
131,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18733&GenusName=Acentrogobius&SpeciesName=moloanus
132,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7374&GenusName=Acentrogobius&SpeciesName=nebulosus
133,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18735&GenusName=Acentrogobius&SpeciesName=pflaumii
134,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=14863&GenusName=Acentrogobius&SpeciesName=viridipunctatus
135,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8305&GenusName=Acentronura&SpeciesName=gracilissima
136,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15299&GenusName=Acentronura&SpeciesName=tentaculata
137,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=52197&GenusName=Acentrophryne&SpeciesName=dolichonema
138,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=48922&GenusName=Acentrophryne&SpeciesName=longidens
139,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=42673&GenusName=Acestrorhynchus&SpeciesName=altus
140,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18666&GenusName=Acestrorhynchus&SpeciesName=falcatus
141,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13431&GenusName=Acestrorhynchus&SpeciesName=falcirostris
142,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=21335&GenusName=Acestrorhynchus&SpeciesName=heterolepis
143,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12665&GenusName=Acestrorhynchus&SpeciesName=microlepis
144,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=49722&GenusName=Acheilognathus&SpeciesName=majusculus
145,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18169&GenusName=Acheilognathus&SpeciesName=rhombeus
146,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=55627&GenusName=Acheilognathus&SpeciesName=striatus
147,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18170&GenusName=Acheilognathus&SpeciesName=tabira
148,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=19917&GenusName=Achiroides&SpeciesName=leucorhynchos
149,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=19918&GenusName=Achiroides&SpeciesName=melanorhynchus
150,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7561&GenusName=Achiropsetta&SpeciesName=tricholepis
151,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7875&GenusName=Achirus&SpeciesName=achirus
152,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4452&GenusName=Achirus&SpeciesName=lineatus
153,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10750&GenusName=Achirus&SpeciesName=mazatlanus
154,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13633&GenusName=Achirus&SpeciesName=scutum
155,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=14219&GenusName=Achoerodus&SpeciesName=gouldii
156,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20010&GenusName=Achondrostoma&SpeciesName=arcasii
157,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4901&GenusName=Acipenser&SpeciesName=baerii
158,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20715&GenusName=Acipenser&SpeciesName=baerii
159,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2786&GenusName=Acipenser&SpeciesName=brevirostrum
160,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9059&GenusName=Acipenser&SpeciesName=dabryanus
161,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2787&GenusName=Acipenser&SpeciesName=fulvescens
162,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4933&GenusName=Acipenser&SpeciesName=gueldenstaedtii
163,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2788&GenusName=Acipenser&SpeciesName=medirostris
164,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10085&GenusName=Acipenser&SpeciesName=mikadoi
165,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2698&GenusName=Acipenser&SpeciesName=naccarii
166,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2699&GenusName=Acipenser&SpeciesName=nudiventris
167,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20730&GenusName=Acipenser&SpeciesName=oxyrinchus
168,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2789&GenusName=Acipenser&SpeciesName=oxyrinchus
169,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10086&GenusName=Acipenser&SpeciesName=persicus
170,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=4791&GenusName=Acipenser&SpeciesName=ruthenus
171,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6399&GenusName=Acipenser&SpeciesName=schrenckii
172,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9084&GenusName=Acipenser&SpeciesName=sinensis
173,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2260&GenusName=Acipenser&SpeciesName=stellatus
174,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2261&GenusName=Acipenser&SpeciesName=sturio
175,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2790&GenusName=Acipenser&SpeciesName=transmontanus
176,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20799&GenusName=Acnodon&SpeciesName=normani
177,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=43669&GenusName=Acnodon&SpeciesName=senai
178,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8159&GenusName=Acreichthys&SpeciesName=tomentosus
179,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=59272&GenusName=Acrobrycon&SpeciesName=ortii
180,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=59271&GenusName=Acrobrycon&SpeciesName=starnesi
181,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2937&GenusName=Acrocheilus&SpeciesName=alutaceus
182,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=51361&GenusName=Acrochordonichthys&SpeciesName=gyrinus
183,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18517&GenusName=Acrochordonichthys&SpeciesName=rugosus
184,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1284&GenusName=Acropoma&SpeciesName=japonicum
185,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=58903&GenusName=Acrossocheilus&SpeciesName=multistriatus
186,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5798&GenusName=Acroteriobatus&SpeciesName=annulatus
187,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5799&GenusName=Acroteriobatus&SpeciesName=leucospilus
188,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=660&GenusName=Aculeola&SpeciesName=nigra
189,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=3269&GenusName=Acyrtops&SpeciesName=beryllinus
190,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15180&GenusName=Acyrtus&SpeciesName=rubiginosus
191,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8297&GenusName=Aeoliscus&SpeciesName=punctulatus
192,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6824&GenusName=Aeoliscus&SpeciesName=strigatus
193,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=43025&GenusName=Aequidens&SpeciesName=gerciliae
194,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20899&GenusName=Aequidens&SpeciesName=patricki
195,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12604&GenusName=Aequidens&SpeciesName=tetramerus
196,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=47183&GenusName=Aequidens&SpeciesName=tubicen
197,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=6763&GenusName=Aethaloperca&SpeciesName=rogaa
198,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7375&GenusName=Aethotaxis&SpeciesName=mitopteryx
199,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1266&GenusName=Aetobatus&SpeciesName=narinari
200,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12945&GenusName=Aetobatus&SpeciesName=ocellatus
201,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5245&GenusName=Aetomylaeus&SpeciesName=bovinus
202,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=10443&GenusName=Aetomylaeus&SpeciesName=nichofii
203,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=12944&GenusName=Aetomylaeus&SpeciesName=vespertilio
204,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=40284&GenusName=Ageneiosus&SpeciesName=inermis
205,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=40834&GenusName=Ageneiosus&SpeciesName=ucayalensis
206,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=13265&GenusName=Agonopsis&SpeciesName=chiloensis
207,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=1101&GenusName=Agonostomus&SpeciesName=monticola
208,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=46&GenusName=Agonus&SpeciesName=cataphractus
209,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=2938&GenusName=Agosia&SpeciesName=chrysogaster
210,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=9476&GenusName=Ahliesaurus&SpeciesName=berryi
211,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20482&GenusName=Aidablennius&SpeciesName=sphynx
212,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=54054&GenusName=Akihito&SpeciesName=futuna
213,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=46537&GenusName=Akko&SpeciesName=dionaea
214,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=43016&GenusName=Akrokolioplax&SpeciesName=bicornis
215,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=45347&GenusName=Akysis&SpeciesName=brachybarbatus
216,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=54892&GenusName=Akysis&SpeciesName=fontaneus
217,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=20913&GenusName=Akysis&SpeciesName=maculipinnis
218,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=18521&GenusName=Akysis&SpeciesName=variegatus
219,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=8749&GenusName=Albatrossia&SpeciesName=pectoralis
220,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=11838&GenusName=Albula&SpeciesName=glossodonta
221,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=7634&GenusName=Albula&SpeciesName=nemoptera
222,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=242&GenusName=Albula&SpeciesName=vulpes
223,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=15555&GenusName=Albulichthys&SpeciesName=albuloides
224,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=5105&GenusName=Alburnoides&SpeciesName=bipunctatus
225,https://www.fishbase.de/Ecology/FishEcologySummary.php?stockcode=59244&GenusName=Alburnoides&SpeciesName=coadi
