,Maturity_Studies
30,https://www.fishbase.de/Reproduction/MaturityList.php?ID=11926&GenusName=Acheilognathus&SpeciesName=asmussii&fc=122
31,https://www.fishbase.de/Reproduction/MaturityList.php?ID=14420&GenusName=Achoerodus&SpeciesName=gouldii&fc=362
32,https://www.fishbase.de/Reproduction/MaturityList.php?ID=50808&GenusName=Achoerodus&SpeciesName=viridis&fc=362
33,https://www.fishbase.de/Reproduction/MaturityList.php?ID=23608&GenusName=Achondrostoma&SpeciesName=arcasii&fc=122
34,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4683&GenusName=Acipenser&SpeciesName=baerii&fc=32
35,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2590&GenusName=Acipenser&SpeciesName=brevirostrum&fc=32
36,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8737&GenusName=Acipenser&SpeciesName=dabryanus&fc=32
37,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2591&GenusName=Acipenser&SpeciesName=fulvescens&fc=32
38,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4712&GenusName=Acipenser&SpeciesName=gueldenstaedtii&fc=32
39,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2592&GenusName=Acipenser&SpeciesName=medirostris&fc=32
40,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2504&GenusName=Acipenser&SpeciesName=naccarii&fc=32
41,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2505&GenusName=Acipenser&SpeciesName=nudiventris&fc=32
42,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2593&GenusName=Acipenser&SpeciesName=oxyrinchus&fc=32
43,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9763&GenusName=Acipenser&SpeciesName=persicus&fc=32
44,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4604&GenusName=Acipenser&SpeciesName=ruthenus&fc=32
45,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6085&GenusName=Acipenser&SpeciesName=schrenckii&fc=32
46,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8762&GenusName=Acipenser&SpeciesName=sinensis&fc=32
47,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2065&GenusName=Acipenser&SpeciesName=stellatus&fc=32
48,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2066&GenusName=Acipenser&SpeciesName=sturio&fc=32
49,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2594&GenusName=Acipenser&SpeciesName=transmontanus&fc=32
50,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7974&GenusName=Acreichthys&SpeciesName=radiatus&fc=517
51,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2741&GenusName=Acrocheilus&SpeciesName=alutaceus&fc=122
52,https://www.fishbase.de/Reproduction/MaturityList.php?ID=57445&GenusName=Acroteriobatus&SpeciesName=variegatus&fc=17
53,https://www.fishbase.de/Reproduction/MaturityList.php?ID=644&GenusName=Aculeola&SpeciesName=nigra&fc=638
54,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3073&GenusName=Acyrtops&SpeciesName=beryllinus&fc=434
55,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6441&GenusName=Aethaloperca&SpeciesName=rogaa&fc=289
56,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1250&GenusName=Aetobatus&SpeciesName=narinari&fc=717
57,https://www.fishbase.de/Reproduction/MaturityList.php?ID=67276&GenusName=Aetobatus&SpeciesName=narutobiei&fc=717
58,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5011&GenusName=Aetomylaeus&SpeciesName=bovinus&fc=22
59,https://www.fishbase.de/Reproduction/MaturityList.php?ID=67984&GenusName=Aetomylaeus&SpeciesName=caeruleofasciatus&fc=22
60,https://www.fishbase.de/Reproduction/MaturityList.php?ID=12594&GenusName=Aetomylaeus&SpeciesName=maculatus&fc=22
61,https://www.fishbase.de/Reproduction/MaturityList.php?ID=10120&GenusName=Aetomylaeus&SpeciesName=nichofii&fc=22
62,https://www.fishbase.de/Reproduction/MaturityList.php?ID=12599&GenusName=Aetomylaeus&SpeciesName=vespertilio&fc=22
63,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1085&GenusName=Agonostomus&SpeciesName=monticola&fc=359
64,https://www.fishbase.de/Reproduction/MaturityList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus&fc=283
65,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2633&GenusName=Ahlia&SpeciesName=egmontis&fc=66
66,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8435&GenusName=Albatrossia&SpeciesName=pectoralis&fc=185
67,https://www.fishbase.de/Reproduction/MaturityList.php?ID=228&GenusName=Albula&SpeciesName=vulpes&fc=48
68,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4875&GenusName=Alburnoides&SpeciesName=bipunctatus&fc=122
69,https://www.fishbase.de/Reproduction/MaturityList.php?ID=65851&GenusName=Alburnoides&SpeciesName=fangfangae&fc=122
70,https://www.fishbase.de/Reproduction/MaturityList.php?ID=22954&GenusName=Alburnoides&SpeciesName=taeniatus&fc=122
71,https://www.fishbase.de/Reproduction/MaturityList.php?ID=25774&GenusName=Alburnus&SpeciesName=albidus&fc=122
72,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus&fc=122
73,https://www.fishbase.de/Reproduction/MaturityList.php?ID=62353&GenusName=Alburnus&SpeciesName=arborella&fc=122
74,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5473&GenusName=Alburnus&SpeciesName=chalcoides&fc=122
75,https://www.fishbase.de/Reproduction/MaturityList.php?ID=64199&GenusName=Alburnus&SpeciesName=leobergi&fc=122
76,https://www.fishbase.de/Reproduction/MaturityList.php?ID=62440&GenusName=Alburnus&SpeciesName=mento&fc=122
77,https://www.fishbase.de/Reproduction/MaturityList.php?ID=65056&GenusName=Alburnus&SpeciesName=mentoides&fc=122
78,https://www.fishbase.de/Reproduction/MaturityList.php?ID=64201&GenusName=Alburnus&SpeciesName=sarmaticus&fc=122
79,https://www.fishbase.de/Reproduction/MaturityList.php?ID=65057&GenusName=Alburnus&SpeciesName=scoranza&fc=122
80,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2033&GenusName=Alcolapia&SpeciesName=grahami&fc=349
81,https://www.fishbase.de/Reproduction/MaturityList.php?ID=12938&GenusName=Aldrichetta&SpeciesName=forsteri&fc=359
82,https://www.fishbase.de/Reproduction/MaturityList.php?ID=50409&GenusName=Alectrias&SpeciesName=cirratus&fc=393
83,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1889&GenusName=Alepes&SpeciesName=djedaba&fc=314
84,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1903&GenusName=Alepes&SpeciesName=kleinii&fc=314
85,https://www.fishbase.de/Reproduction/MaturityList.php?ID=230&GenusName=Alepocephalus&SpeciesName=bairdii&fc=86
86,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5071&GenusName=Alepocephalus&SpeciesName=rostratus&fc=86
87,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2405&GenusName=Alestes&SpeciesName=baremoze&fc=518
88,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5229&GenusName=Alestes&SpeciesName=dentex&fc=518
89,https://www.fishbase.de/Reproduction/MaturityList.php?ID=46449&GenusName=Alfaro&SpeciesName=cultratus&fc=216
90,https://www.fishbase.de/Reproduction/MaturityList.php?ID=12962&GenusName=Allocyttus&SpeciesName=niger&fc=250
91,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9144&GenusName=Allocyttus&SpeciesName=verrucosus&fc=250
92,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5891&GenusName=Alopias&SpeciesName=pelagicus&fc=486
93,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2534&GenusName=Alopias&SpeciesName=superciliosus&fc=486
94,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2535&GenusName=Alopias&SpeciesName=vulpinus&fc=486
95,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1574&GenusName=Alosa&SpeciesName=aestivalis&fc=43
96,https://www.fishbase.de/Reproduction/MaturityList.php?ID=28201&GenusName=Alosa&SpeciesName=agone&fc=43
97,https://www.fishbase.de/Reproduction/MaturityList.php?ID=101&GenusName=Alosa&SpeciesName=alosa&fc=43
98,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1576&GenusName=Alosa&SpeciesName=braschnikowi&fc=43
99,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia&fc=43
100,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&fc=43
101,https://www.fishbase.de/Reproduction/MaturityList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&fc=43
102,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri&fc=43
103,https://www.fishbase.de/Reproduction/MaturityList.php?ID=25775&GenusName=Alosa&SpeciesName=macedonica&fc=43
104,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1581&GenusName=Alosa&SpeciesName=maeotica&fc=43
105,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1582&GenusName=Alosa&SpeciesName=mediocris&fc=43
106,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus&fc=43
107,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima&fc=43
108,https://www.fishbase.de/Reproduction/MaturityList.php?ID=48090&GenusName=Alosa&SpeciesName=tanaica&fc=43
109,https://www.fishbase.de/Reproduction/MaturityList.php?ID=63396&GenusName=Alosa&SpeciesName=volgensis&fc=43
110,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8726&GenusName=Alphestes&SpeciesName=afer&fc=289
111,https://www.fishbase.de/Reproduction/MaturityList.php?ID=15124&GenusName=Ambassis&SpeciesName=agrammus&fc=509
112,https://www.fishbase.de/Reproduction/MaturityList.php?ID=61467&GenusName=Ambassis&SpeciesName=ambassis&fc=509
113,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5153&GenusName=Ambassis&SpeciesName=interrupta&fc=509
114,https://www.fishbase.de/Reproduction/MaturityList.php?ID=15128&GenusName=Ambassis&SpeciesName=macleayi&fc=509
115,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8016&GenusName=Ambassis&SpeciesName=natalensis&fc=509
116,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris&fc=302
117,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1501&GenusName=Amblygaster&SpeciesName=sirm&fc=43
118,https://www.fishbase.de/Reproduction/MaturityList.php?ID=24301&GenusName=Amblypharyngodon&SpeciesName=mola&fc=122
119,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9256&GenusName=Amblyraja&SpeciesName=hyperborea&fc=19
120,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata&fc=19
121,https://www.fishbase.de/Reproduction/MaturityList.php?ID=291&GenusName=Ameiurus&SpeciesName=melas&fc=129
122,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3021&GenusName=Ameiurus&SpeciesName=natalis&fc=129
123,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus&fc=129
124,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2600&GenusName=Amia&SpeciesName=calva&fc=35
125,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3822&GenusName=Ammodytes&SpeciesName=hexapterus&fc=402
126,https://www.fishbase.de/Reproduction/MaturityList.php?ID=37&GenusName=Ammodytes&SpeciesName=marinus&fc=402
127,https://www.fishbase.de/Reproduction/MaturityList.php?ID=38&GenusName=Ammodytes&SpeciesName=tobianus&fc=402
128,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2448&GenusName=Amphilius&SpeciesName=atesuensis&fc=136
129,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8381&GenusName=Amphilius&SpeciesName=natalensis&fc=136
130,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4551&GenusName=Amphiprion&SpeciesName=chrysopterus&fc=350
131,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus&fc=350
132,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9209&GenusName=Amphiprion&SpeciesName=percula&fc=350
133,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2024&GenusName=Amphiprion&SpeciesName=perideraion&fc=350
134,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4655&GenusName=Amphiprion&SpeciesName=tricinctus&fc=350
135,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3622&GenusName=Amphistichus&SpeciesName=argenteus&fc=348
136,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3624&GenusName=Amphistichus&SpeciesName=rhodoterus&fc=348
137,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7379&GenusName=Anableps&SpeciesName=anableps&fc=214
138,https://www.fishbase.de/Reproduction/MaturityList.php?ID=49772&GenusName=Anablepsoides&SpeciesName=lungi&fc=601
139,https://www.fishbase.de/Reproduction/MaturityList.php?ID=9538&GenusName=Anaecypris&SpeciesName=hispanica&fc=122
140,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus&fc=396
141,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3811&GenusName=Anarhichas&SpeciesName=minor&fc=396
142,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3813&GenusName=Anarrhichthys&SpeciesName=ocellatus&fc=396
143,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1133&GenusName=Anchoa&SpeciesName=hepsetus&fc=454
144,https://www.fishbase.de/Reproduction/MaturityList.php?ID=435&GenusName=Anchoa&SpeciesName=januaria&fc=454
145,https://www.fishbase.de/Reproduction/MaturityList.php?ID=931&GenusName=Anchoa&SpeciesName=lucida&fc=454
146,https://www.fishbase.de/Reproduction/MaturityList.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli&fc=454
147,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1163&GenusName=Anchoa&SpeciesName=nasus&fc=454
148,https://www.fishbase.de/Reproduction/MaturityList.php?ID=544&GenusName=Anchovia&SpeciesName=macrolepidota&fc=454
149,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1675&GenusName=Anchoviella&SpeciesName=lepidentostole&fc=454
150,https://www.fishbase.de/Reproduction/MaturityList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&fc=49
151,https://www.fishbase.de/Reproduction/MaturityList.php?ID=297&GenusName=Anguilla&SpeciesName=australis&fc=49
152,https://www.fishbase.de/Reproduction/MaturityList.php?ID=11878&GenusName=Anguilla&SpeciesName=dieffenbachii&fc=49
153,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7512&GenusName=Anguilla&SpeciesName=reinhardtii&fc=49
154,https://www.fishbase.de/Reproduction/MaturityList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata&fc=49
155,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3568&GenusName=Anisotremus&SpeciesName=davidsonii&fc=327
156,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3776&GenusName=Anoplarchus&SpeciesName=purpurescens&fc=393
157,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2308&GenusName=Anoplogaster&SpeciesName=cornuta&fc=239
158,https://www.fishbase.de/Reproduction/MaturityList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria&fc=270
159,https://www.fishbase.de/Reproduction/MaturityList.php?ID=8211&GenusName=Anoxypristis&SpeciesName=cuspidata&fc=16
160,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2005&GenusName=Antimora&SpeciesName=rostrata&fc=180
161,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4922&GenusName=Anyperodon&SpeciesName=leucogrammicus&fc=289
162,https://www.fishbase.de/Reproduction/MaturityList.php?ID=23432&GenusName=Apareiodon&SpeciesName=affinis&fc=603
163,https://www.fishbase.de/Reproduction/MaturityList.php?ID=61504&GenusName=Aphanius&SpeciesName=baeticus&fc=212
164,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4834&GenusName=Aphanius&SpeciesName=fasciatus&fc=212
165,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4876&GenusName=Aphanius&SpeciesName=iberus&fc=212
166,https://www.fishbase.de/Reproduction/MaturityList.php?ID=646&GenusName=Aphanopus&SpeciesName=carbo&fc=415
167,https://www.fishbase.de/Reproduction/MaturityList.php?ID=39&GenusName=Aphia&SpeciesName=minuta&fc=405
168,https://www.fishbase.de/Reproduction/MaturityList.php?ID=10618&GenusName=Aphyocharax&SpeciesName=anisitsi&fc=102
169,https://www.fishbase.de/Reproduction/MaturityList.php?ID=26699&GenusName=Apistogramma&SpeciesName=juruensis&fc=349
170,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7550&GenusName=Aplatophis&SpeciesName=chauliodus&fc=66
171,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4756&GenusName=Aplocheilus&SpeciesName=panchax&fc=476
172,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1693&GenusName=Apogon&SpeciesName=imberbis&fc=304
173,https://www.fishbase.de/Reproduction/MaturityList.php?ID=84&GenusName=Aprion&SpeciesName=virescens&fc=323
174,https://www.fishbase.de/Reproduction/MaturityList.php?ID=54373&GenusName=Apristurus&SpeciesName=aphyodes&fc=703
175,https://www.fishbase.de/Reproduction/MaturityList.php?ID=64107&GenusName=Apristurus&SpeciesName=australis&fc=703
176,https://www.fishbase.de/Reproduction/MaturityList.php?ID=59467&GenusName=Apristurus&SpeciesName=exsanguis&fc=703
177,https://www.fishbase.de/Reproduction/MaturityList.php?ID=771&GenusName=Apristurus&SpeciesName=longicephalus&fc=703
178,https://www.fishbase.de/Reproduction/MaturityList.php?ID=62554&GenusName=Apristurus&SpeciesName=melanoasper&fc=703
179,https://www.fishbase.de/Reproduction/MaturityList.php?ID=85&GenusName=Apsilus&SpeciesName=dentatus&fc=323
180,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2636&GenusName=Apterichtus&SpeciesName=kendalli&fc=66
181,https://www.fishbase.de/Reproduction/MaturityList.php?ID=15943&GenusName=Apteronotus&SpeciesName=leptorhynchus&fc=545
182,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2076&GenusName=Arapaima&SpeciesName=gigas&fc=628
183,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1219&GenusName=Archosargus&SpeciesName=rhomboidalis&fc=330
184,https://www.fishbase.de/Reproduction/MaturityList.php?ID=463&GenusName=Arctoscopus&SpeciesName=japonicus&fc=365
185,https://www.fishbase.de/Reproduction/MaturityList.php?ID=2700&GenusName=Argentina&SpeciesName=silus&fc=83
186,https://www.fishbase.de/Reproduction/MaturityList.php?ID=6968&GenusName=Argyropelecus&SpeciesName=hemigymnus&fc=89
187,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4541&GenusName=Argyrops&SpeciesName=filamentosus&fc=330
188,https://www.fishbase.de/Reproduction/MaturityList.php?ID=442&GenusName=Argyrops&SpeciesName=spinifer&fc=330
189,https://www.fishbase.de/Reproduction/MaturityList.php?ID=17270&GenusName=Argyrosomus&SpeciesName=inodorus&fc=331
190,https://www.fishbase.de/Reproduction/MaturityList.php?ID=11979&GenusName=Argyrosomus&SpeciesName=japonicus&fc=331
191,https://www.fishbase.de/Reproduction/MaturityList.php?ID=418&GenusName=Argyrosomus&SpeciesName=regius&fc=331
192,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7916&GenusName=Argyrosomus&SpeciesName=thorpei&fc=331
193,https://www.fishbase.de/Reproduction/MaturityList.php?ID=443&GenusName=Argyrozona&SpeciesName=argyrozona&fc=330
194,https://www.fishbase.de/Reproduction/MaturityList.php?ID=961&GenusName=Ariomma&SpeciesName=bondi&fc=423
195,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1300&GenusName=Ariomma&SpeciesName=indicum&fc=423
196,https://www.fishbase.de/Reproduction/MaturityList.php?ID=947&GenusName=Ariopsis&SpeciesName=felis&fc=145
197,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4929&GenusName=Arius&SpeciesName=latiscutatus&fc=145
198,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1280&GenusName=Arius&SpeciesName=maculatus&fc=145
199,https://www.fishbase.de/Reproduction/MaturityList.php?ID=41&GenusName=Arnoglossus&SpeciesName=laterna&fc=439
200,https://www.fishbase.de/Reproduction/MaturityList.php?ID=43&GenusName=Arnoglossus&SpeciesName=thori&fc=439
201,https://www.fishbase.de/Reproduction/MaturityList.php?ID=392&GenusName=Arripis&SpeciesName=georgianus&fc=321
202,https://www.fishbase.de/Reproduction/MaturityList.php?ID=5048&GenusName=Arripis&SpeciesName=trutta&fc=321
203,https://www.fishbase.de/Reproduction/MaturityList.php?ID=14606&GenusName=Arripis&SpeciesName=truttacea&fc=321
204,https://www.fishbase.de/Reproduction/MaturityList.php?ID=63025&GenusName=Aseraggodes&SpeciesName=brevirostris&fc=441
205,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4157&GenusName=Aspidophoroides&SpeciesName=monopterygius&fc=283
206,https://www.fishbase.de/Reproduction/MaturityList.php?ID=58410&GenusName=Aspistor&SpeciesName=luniscutis&fc=145
207,https://www.fishbase.de/Reproduction/MaturityList.php?ID=49592&GenusName=Astroblepus&SpeciesName=cyclopus&fc=158
208,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3612&GenusName=Astronotus&SpeciesName=ocellatus&fc=349
209,https://www.fishbase.de/Reproduction/MaturityList.php?ID=58108&GenusName=Astyanax&SpeciesName=altiparanae&fc=102
210,https://www.fishbase.de/Reproduction/MaturityList.php?ID=63313&GenusName=Astyanax&SpeciesName=bockmanni&fc=102
211,https://www.fishbase.de/Reproduction/MaturityList.php?ID=67626&GenusName=Astyanax&SpeciesName=eremus&fc=102
212,https://www.fishbase.de/Reproduction/MaturityList.php?ID=62646&GenusName=Astyanax&SpeciesName=henseli&fc=102
213,https://www.fishbase.de/Reproduction/MaturityList.php?ID=58124&GenusName=Astyanax&SpeciesName=paranae&fc=102
214,https://www.fishbase.de/Reproduction/MaturityList.php?ID=51294&GenusName=Astyanax&SpeciesName=schubarti&fc=102
215,https://www.fishbase.de/Reproduction/MaturityList.php?ID=65083&GenusName=Astyanax&SpeciesName=xavante&fc=102
216,https://www.fishbase.de/Reproduction/MaturityList.php?ID=54004&GenusName=Atelomycterus&SpeciesName=fasciatus&fc=10
217,https://www.fishbase.de/Reproduction/MaturityList.php?ID=791&GenusName=Atelomycterus&SpeciesName=macleayi&fc=10
218,https://www.fishbase.de/Reproduction/MaturityList.php?ID=4305&GenusName=Atelomycterus&SpeciesName=marmoratus&fc=10
219,https://www.fishbase.de/Reproduction/MaturityList.php?ID=63793&GenusName=Atelomycterus&SpeciesName=marnkalha&fc=10
220,https://www.fishbase.de/Reproduction/MaturityList.php?ID=517&GenusName=Atheresthes&SpeciesName=stomias&fc=440
221,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1696&GenusName=Atherina&SpeciesName=boyeri&fc=218
222,https://www.fishbase.de/Reproduction/MaturityList.php?ID=1301&GenusName=Atherina&SpeciesName=breviceps&fc=218
223,https://www.fishbase.de/Reproduction/MaturityList.php?ID=7526&GenusName=Atherinella&SpeciesName=brasiliensis&fc=623
224,https://www.fishbase.de/Reproduction/MaturityList.php?ID=61247&GenusName=Atherinomorus&SpeciesName=vaigiensis&fc=218
225,https://www.fishbase.de/Reproduction/MaturityList.php?ID=3235&GenusName=Atherinops&SpeciesName=affinis&fc=623
