,Proximate_Analyses
67,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=875&GenusName=Carcharhinus&SpeciesName=longimanus
68,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=877&GenusName=Carcharhinus&SpeciesName=melanopterus
69,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=878&GenusName=Carcharhinus&SpeciesName=obscurus
70,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=880&GenusName=Carcharhinus&SpeciesName=plumbeus
71,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=751&GenusName=Carcharodon&SpeciesName=carcharias
72,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=249&GenusName=Centrolophus&SpeciesName=niger
73,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=361&GenusName=Centropristis&SpeciesName=striata
74,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=90&GenusName=Cetorhinus&SpeciesName=maximus
75,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=473&GenusName=Chaenocephalus&SpeciesName=aceratus
76,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=474&GenusName=Champsocephalus&SpeciesName=gunnari
77,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5144&GenusName=Channa&SpeciesName=marulius
78,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5147&GenusName=Channa&SpeciesName=punctata
79,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=343&GenusName=Channa&SpeciesName=striata
80,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=477&GenusName=Channichthys&SpeciesName=rhinoceratus
81,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=80&GenusName=Chanos&SpeciesName=chanos
82,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5504&GenusName=Chelidonichthys&SpeciesName=capensis
83,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4940&GenusName=Chelidonichthys&SpeciesName=gabonensis
84,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=507&GenusName=Chelidonichthys&SpeciesName=kumu
85,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1366&GenusName=Chelidonichthys&SpeciesName=lucerna
86,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5115&GenusName=Chelon&SpeciesName=dumerili
87,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4668&GenusName=Chelon&SpeciesName=parsia
88,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5146&GenusName=Chelon&SpeciesName=richardsonii
89,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1736&GenusName=Chelon&SpeciesName=saliens
90,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5513&GenusName=Chelon&SpeciesName=tricuspidens
91,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6358&GenusName=Chirocentrus&SpeciesName=dorab
92,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1452&GenusName=Chirocentrus&SpeciesName=nudus
93,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5530&GenusName=Chrysoblephus&SpeciesName=puniceus
94,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=26675&GenusName=Cilus&SpeciesName=gilberti
95,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4494&GenusName=Cirrhinus&SpeciesName=cirrhosus
96,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3054&GenusName=Clarias&SpeciesName=batrachus
97,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1934&GenusName=Clarias&SpeciesName=gariepinus
98,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4805&GenusName=Clarias&SpeciesName=macrocephalus
99,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=24&GenusName=Clupea&SpeciesName=harengus
100,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1520&GenusName=Clupea&SpeciesName=pallasii+pallasii
101,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=12958&GenusName=Colistium&SpeciesName=nudipinnis
102,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=303&GenusName=Cololabis&SpeciesName=saira
103,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=263&GenusName=Colossoma&SpeciesName=macropomum
104,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=301&GenusName=Conger&SpeciesName=conger
105,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3517&GenusName=Cookeolus&SpeciesName=japonicus
106,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1397&GenusName=Coptodon&SpeciesName=rendalli
107,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=231&GenusName=Coregonus&SpeciesName=albula
108,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=235&GenusName=Coregonus&SpeciesName=artedi
109,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=234&GenusName=Coregonus&SpeciesName=clupeaformis
110,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6&GenusName=Coryphaena&SpeciesName=hippurus
111,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=332&GenusName=Coryphaenoides&SpeciesName=rupestris
112,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=79&GenusName=Ctenopharyngodon&SpeciesName=idella
113,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=8028&GenusName=Cubiceps&SpeciesName=whiteleggii
114,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=62&GenusName=Cyclopterus&SpeciesName=lumpus
115,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=8238&GenusName=Cynoglossus&SpeciesName=lingua
116,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=17161&GenusName=Cynoglossus&SpeciesName=semifasciatus
117,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=405&GenusName=Cynoscion&SpeciesName=nebulosus
118,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=406&GenusName=Cynoscion&SpeciesName=regalis
119,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=407&GenusName=Cynoscion&SpeciesName=striatus
120,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1450&GenusName=Cyprinus&SpeciesName=carpio
121,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1021&GenusName=Dactylopterus&SpeciesName=volitans
122,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1939&GenusName=Decapterus&SpeciesName=maruadsi
123,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=374&GenusName=Decapterus&SpeciesName=russelli
124,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4539&GenusName=Dentex&SpeciesName=canariensis
125,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=439&GenusName=Dentex&SpeciesName=dentex
126,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4536&GenusName=Dentex&SpeciesName=gibbosus
127,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4538&GenusName=Dentex&SpeciesName=maroccanus
128,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4465&GenusName=Diagramma&SpeciesName=pictum
129,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=467&GenusName=Dissostichus&SpeciesName=eleginoides
130,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1454&GenusName=Dussumieria&SpeciesName=elopsoides
131,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=412&GenusName=Elagatis&SpeciesName=bipinnulata
132,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=315&GenusName=Eleginus&SpeciesName=gracilis
133,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=314&GenusName=Eleginus&SpeciesName=nawaga
134,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=8034&GenusName=Eleotris&SpeciesName=fusca
135,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=340&GenusName=Eleutheronema&SpeciesName=tetradactylum
136,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=175&GenusName=Elops&SpeciesName=saurus
137,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5023&GenusName=Elops&SpeciesName=senegalensis
138,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=556&GenusName=Encrasicholina&SpeciesName=heteroloba
139,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1659&GenusName=Engraulis&SpeciesName=anchoita
140,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=66&GenusName=Engraulis&SpeciesName=encrasicolus
141,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1663&GenusName=Engraulis&SpeciesName=japonicus
142,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1664&GenusName=Engraulis&SpeciesName=mordax
143,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4&GenusName=Engraulis&SpeciesName=ringens
144,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4237&GenusName=Eopsetta&SpeciesName=jordani
145,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=426&GenusName=Epinephelus&SpeciesName=aeneus
146,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5367&GenusName=Epinephelus&SpeciesName=areolatus
147,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5348&GenusName=Epinephelus&SpeciesName=fasciatus
148,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6470&GenusName=Epinephelus&SpeciesName=marginatus
149,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4923&GenusName=Epinephelus&SpeciesName=merra
150,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=258&GenusName=Esox&SpeciesName=lucius
151,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1385&GenusName=Etelis&SpeciesName=coruscans
152,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=687&GenusName=Etmopterus&SpeciesName=spinax
153,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4681&GenusName=Etroplus&SpeciesName=suratensis
154,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1455&GenusName=Etrumeus&SpeciesName=sadina
155,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=908&GenusName=Eusphyra&SpeciesName=blochii
156,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=96&GenusName=Euthynnus&SpeciesName=affinis
157,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=97&GenusName=Euthynnus&SpeciesName=alletteratus
158,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=68&GenusName=Eutrigla&SpeciesName=gurnardus
159,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1032&GenusName=Exocoetus&SpeciesName=volitans
160,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3276&GenusName=Fistularia&SpeciesName=petimba
161,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=318&GenusName=Gadus&SpeciesName=chalcogrammus
162,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=308&GenusName=Gadus&SpeciesName=macrocephalus
163,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=69&GenusName=Gadus&SpeciesName=morhua
164,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=7579&GenusName=Galaxias&SpeciesName=maculatus
165,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=886&GenusName=Galeocerdo&SpeciesName=cuvier
166,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=341&GenusName=Galeoides&SpeciesName=decadactylus
167,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4642&GenusName=Galeorhinus&SpeciesName=galeus
168,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=482&GenusName=Genypterus&SpeciesName=blacodes
169,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=485&GenusName=Genypterus&SpeciesName=capensis
170,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4439&GenusName=Gibelion&SpeciesName=catla
171,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2532&GenusName=Ginglymostoma&SpeciesName=cirratum
172,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2074&GenusName=Glaucostegus&SpeciesName=cemiculus
173,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=26&GenusName=Glyptocephalus&SpeciesName=cynoglossus
174,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4238&GenusName=Glyptocephalus&SpeciesName=zachirus
175,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4464&GenusName=Gnathanodon&SpeciesName=speciosus
176,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1833&GenusName=Gymnocranius&SpeciesName=griseus
177,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=106&GenusName=Gymnosarda&SpeciesName=unicolor
178,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6990&GenusName=Gymnoscopelus&SpeciesName=nicholsi
179,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1135&GenusName=Haemulon&SpeciesName=flavolineatum
180,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1140&GenusName=Haemulon&SpeciesName=plumierii
181,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=260&GenusName=Harpadon&SpeciesName=nehereus
182,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=76&GenusName=Helicolenus&SpeciesName=dactylopterus
183,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5636&GenusName=Hemigymnus&SpeciesName=melapterus
184,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5404&GenusName=Hemiramphus&SpeciesName=far
185,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4097&GenusName=Hemitripterus&SpeciesName=americanus
186,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6598&GenusName=Hexagrammos&SpeciesName=otakii
187,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=637&GenusName=Hexanchus&SpeciesName=griseus
188,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=519&GenusName=Hippoglossoides&SpeciesName=elassodon
189,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4239&GenusName=Hippoglossoides&SpeciesName=platessoides
190,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1371&GenusName=Hippoglossus&SpeciesName=hippoglossus
191,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=514&GenusName=Hippoglossus&SpeciesName=stenolepis
192,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=334&GenusName=Hoplostethus&SpeciesName=atlanticus
193,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=8681&GenusName=Hucho&SpeciesName=taimen
194,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2067&GenusName=Huso&SpeciesName=huso
195,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=496&GenusName=Hyperoglyphe&SpeciesName=antarctica
196,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1374&GenusName=Hyperoplus&SpeciesName=lanceolatus
197,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=274&GenusName=Hypophthalmichthys&SpeciesName=molitrix
198,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=275&GenusName=Hypophthalmichthys&SpeciesName=nobilis
199,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=13219&GenusName=Hypselobarbus&SpeciesName=mussullah
200,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=3019&GenusName=Ictalurus&SpeciesName=furcatus
201,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=290&GenusName=Ictalurus&SpeciesName=punctatus
202,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2992&GenusName=Ictiobus&SpeciesName=bubalus
203,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1627&GenusName=Ilisha&SpeciesName=elongata
204,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1628&GenusName=Ilisha&SpeciesName=filigera
205,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1633&GenusName=Ilisha&SpeciesName=melastoma
206,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=78&GenusName=Istiophorus&SpeciesName=albicans
207,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=77&GenusName=Istiophorus&SpeciesName=platypterus
208,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=752&GenusName=Isurus&SpeciesName=oxyrinchus
209,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5520&GenusName=Johnius&SpeciesName=belangerii
210,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=28016&GenusName=Johnius&SpeciesName=dorsalis
211,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=6530&GenusName=Johnius&SpeciesName=dussumieri
212,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=13667&GenusName=Johnius&SpeciesName=glaucus
213,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=7796&GenusName=Johnius&SpeciesName=goldmani
214,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=223&GenusName=Kajikia&SpeciesName=audax
215,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4574&GenusName=Karalla&SpeciesName=daura
216,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=12920&GenusName=Kathetostoma&SpeciesName=giganteum
217,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=107&GenusName=Katsuwonus&SpeciesName=pelamis
218,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=5151&GenusName=Labeo&SpeciesName=calbasu
219,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4636&GenusName=Labeo&SpeciesName=niloticus
220,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=13179&GenusName=Labeo&SpeciesName=potail
221,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=82&GenusName=Labeo&SpeciesName=rohita
222,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1071&GenusName=Lachnolaimus&SpeciesName=maximus
223,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=363&GenusName=Lactarius&SpeciesName=lactarius
224,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=2014&GenusName=Laemonema&SpeciesName=longipes
225,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=755&GenusName=Lamna&SpeciesName=ditropis
226,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=88&GenusName=Lamna&SpeciesName=nasus
227,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4480&GenusName=Lampetra&SpeciesName=fluviatilis
228,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1072&GenusName=Lampris&SpeciesName=guttatus
229,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=428&GenusName=Larimichthys&SpeciesName=crocea
230,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=416&GenusName=Larimichthys&SpeciesName=polyactis
231,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4589&GenusName=Lateolabrax&SpeciesName=japonicus
232,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=346&GenusName=Lates&SpeciesName=calcarifer
233,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=347&GenusName=Lates&SpeciesName=niloticus
234,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4451&GenusName=Leiognathus&SpeciesName=equulus
235,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=7045&GenusName=Lepidonotothen&SpeciesName=squamifrons
236,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=645&GenusName=Lepidopus&SpeciesName=caudatus
237,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=4469&GenusName=Leptomelanosoma&SpeciesName=indicum
238,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1843&GenusName=Lethrinus&SpeciesName=mahsena
239,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1858&GenusName=Lethrinus&SpeciesName=miniatus
240,https://www.fishbase.de/aquaculture/ProcessingList.php?speccode=1846&GenusName=Lethrinus&SpeciesName=nebulosus
